p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,p1_Players_run_distance_difference,p2_Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,point_no,p1_Player_socre_margin,p2_Player_socre_margin
0.888888889,0.722222222,0.4,0.733333333,0.6,0.5,0,1,0,0,130,4,1,0,0,2,1,00:33:33,0.578,0.578,2,2,15,15,48,0,0
0.888888889,0.722222222,0.4,0.733333333,0.6,0.4,0,1,0,1,101,3,2,0,1,2,2,00:33:58,-0.626,-0.626,2,2,15,30,49,-15,-15
0.888888889,0.722222222,0.4,0.733333333,0.6,0.333333333,0,1,0,1,106,1,2,1,0,2,2,00:34:46,7.425,7.425,2,2,30,30,50,0,0
0.888888889,0.722222222,0.4,0.733333333,0.6,0.285714286,0,0,0,2,106,1,2,2,0,2,2,00:36:02,10.556,10.556,2,2,40,30,51,10,10
0.894736842,0.736842105,0.4,0.733333333,0.6,0.285714286,0,0,0,1,115,3,2,0,0,1,1,00:37:18,-1.384,-1.384,1,1,0,0,52,0,0
0.894736842,0.736842105,0.363636364,0.733333333,0.6,0.285714286,0,0,0,1,100,3,2,1,0,1,2,00:37:44,-1.996,-1.996,1,1,15,0,53,15,15
0.9,0.75,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,122,2,2,0,1,1,1,00:38:26,-1.889,-1.889,1,1,15,15,54,0,0
0.904761905,0.714285714,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,115,4,2,1,0,1,1,00:38:54,-0.048,-0.048,1,1,30,15,55,15,15
0.909090909,0.727272727,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,129,4,2,0,1,1,1,00:39:29,-0.179,-0.179,1,1,30,30,56,0,0
0.869565217,0.695652174,0.363636364,0.733333333,0.6,0.285714286,0,0,1,0,113,3,2,1,0,1,1,00:40:01,1.222,1.222,1,1,40,30,57,10,10
0.875,0.708333333,0.363636364,0.733333333,0.6,0.285714286,0,0,1,0,114,3,2,0,1,1,1,00:40:33,1.677,1.677,1,1,40,40,58,0,0
0.875,0.708333333,0.333333333,0.733333333,0.6,0.285714286,0,0,1,0,88,3,2,1,0,1,2,00:41:23,-1.448,-1.448,1,1,60,40,59,20,20
0.88,0.68,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,123,2,2,0,0,1,1,00:42:31,-1.529,-1.529,1,1,40,40,60,0,0
0.884615385,0.692307692,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,121,2,2,0,1,1,1,00:43:18,-9.554,-9.554,1,1,40,60,61,-20,-20
0.888888889,0.703703704,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,130,4,2,0,0,1,1,00:43:59,-1.031,-1.031,1,1,40,40,62,0,0
0.892857143,0.714285714,0.333333333,0.733333333,0.6,0.285714286,0,0,0,1,132,3,2,1,0,1,1,00:44:29,-3.014,-3.014,1,1,60,40,63,20,20
0.892857143,0.714285714,0.333333333,0.6875,0.5625,0.285714286,0,1,0,1,123,4,2,0,0,2,1,00:47:04,0.778,0.778,2,2,0,0,64,0,0
0.892857143,0.714285714,0.333333333,0.647058824,0.529411765,0.285714286,0,2,0,1,117,4,2,0,1,2,1,00:47:27,0.032,0.032,2,2,0,15,65,-15,-15
0.892857143,0.714285714,0.333333333,0.666666667,0.555555556,0.285714286,0,2,0,0,123,1,2,0,2,2,1,00:47:52,-0.199,-0.199,2,2,0,30,66,-30,-30
0.892857143,0.714285714,0.333333333,0.684210526,0.578947368,0.285714286,0,1,0,0,122,4,1,0,3,2,1,00:48:17,2.859,2.859,2,2,0,40,67,-40,-40
0.862068966,0.689655172,0.333333333,0.684210526,0.578947368,0.285714286,1,0,0,0,127,4,2,0,0,1,1,00:49:17,-0.188,-0.188,1,1,0,0,68,0,0
0.862068966,0.689655172,0.384615385,0.684210526,0.578947368,0.285714286,1,0,0,0,102,3,2,1,0,1,2,00:49:38,-0.961,-0.961,1,1,15,0,69,15,15
0.862068966,0.689655172,0.357142857,0.684210526,0.578947368,0.285714286,1,0,0,0,111,3,2,2,0,1,2,00:50:14,-0.487,-0.487,1,1,30,0,70,30,30
0.866666667,0.666666667,0.357142857,0.684210526,0.578947368,0.285714286,0,0,1,0,118,2,2,0,1,1,1,00:51:10,-4.691,-4.691,1,1,30,15,71,15,15
0.838709677,0.64516129,0.357142857,0.684210526,0.578947368,0.285714286,1,0,1,0,126,4,2,0,2,1,1,00:51:54,-0.858,-0.858,1,1,30,30,72,0,0
0.838709677,0.64516129,0.333333333,0.684210526,0.578947368,0.285714286,1,0,2,0,97,5,1,1,0,1,2,00:52:21,-1.569,-1.569,1,1,40,30,73,10,10
0.838709677,0.64516129,0.3125,0.684210526,0.578947368,0.285714286,1,0,2,0,105,2,2,0,1,1,2,00:53:06,-1.728,-1.728,1,1,40,40,74,0,0
0.84375,0.625,0.3125,0.684210526,0.578947368,0.285714286,0,0,2,0,129,1,2,0,2,1,1,00:54:11,-2.355,-2.355,1,1,40,60,75,-20,-20
0.84375,0.625,0.3125,0.7,0.6,0.285714286,0,0,1,0,126,4,1,0,0,2,1,00:54:56,0.67,0.67,2,2,0,0,76,0,0
0.84375,0.625,0.3125,0.714285714,0.619047619,0.285714286,0,0,0,0,128,5,1,0,1,2,1,00:55:20,-1.348,-1.348,2,2,0,15,77,-15,-15
0.84375,0.625,0.3125,0.727272727,0.636363636,0.285714286,0,0,0,0,108,3,2,0,2,2,1,00:55:50,5.711,5.711,2,2,0,30,78,-30,-30
0.84375,0.625,0.3125,0.727272727,0.636363636,0.375,0,0,1,0,101,5,1,0,3,2,2,00:57:08,-2.202,-2.202,2,2,0,40,79,-40,-40
0.84375,0.625,0.294117647,0.727272727,0.636363636,0.375,0,0,1,0,106,1,2,0,0,1,2,00:59:22,10.907,10.907,1,1,0,0,80,0,0
0.848484848,0.636363636,0.294117647,0.727272727,0.636363636,0.375,0,0,1,0,111,4,2,0,1,1,1,01:00:17,-3.16,-3.16,1,1,0,15,81,-15,-15
0.823529412,0.617647059,0.294117647,0.727272727,0.636363636,0.375,1,0,0,0,110,5,1,1,0,1,1,01:00:41,-0.178,-0.178,1,1,15,15,82,0,0
0.828571429,0.6,0.294117647,0.727272727,0.636363636,0.375,1,0,0,0,119,4,1,2,0,1,1,01:01:21,16.968,16.968,1,1,30,15,83,15,15
0.828571429,0.6,0.277777778,0.727272727,0.636363636,0.375,1,0,0,0,95,4,2,0,1,1,2,01:02:05,-2.581,-2.581,1,1,30,30,84,0,0
0.828571429,0.6,0.315789474,0.727272727,0.636363636,0.375,0,0,0,1,95,1,2,0,2,1,2,01:02:54,-2.897,-2.897,1,1,30,40,85,-10,-10
0.833333333,0.611111111,0.315789474,0.727272727,0.636363636,0.375,0,0,0,2,102,3,1,1,0,1,1,01:03:50,-3.698,-3.698,1,1,40,40,86,0,0
0.833333333,0.611111111,0.35,0.727272727,0.636363636,0.375,0,0,0,2,120,1,2,2,0,1,2,01:04:21,7.792,7.792,1,1,60,40,87,20,20
0.833333333,0.611111111,0.35,0.739130435,0.652173913,0.375,0,0,0,1,113,5,1,0,0,2,1,01:05:38,16.022,16.022,2,2,0,0,88,0,0
0.833333333,0.611111111,0.35,0.75,0.666666667,0.375,0,0,0,0,128,5,2,0,1,2,1,01:06:16,3.845,3.845,2,2,0,15,89,-15,-15
0.833333333,0.611111111,0.35,0.75,0.666666667,0.333333333,0,0,0,0,111,4,2,0,2,2,2,01:06:46,6.332,6.332,2,2,0,30,90,-30,-30
0.833333333,0.611111111,0.35,0.76,0.64,0.333333333,0,0,0,1,131,3,2,1,0,2,1,01:07:42,9.372,9.372,2,2,15,30,91,-15,-15
0.833333333,0.611111111,0.35,0.769230769,0.615384615,0.333333333,0,0,0,2,134,4,2,2,0,2,1,01:08:26,7.221,7.221,2,2,30,30,92,0,0
0.833333333,0.611111111,0.35,0.777777778,0.62962963,0.333333333,0,0,0,2,123,1,2,3,0,2,1,01:09:19,5.836,5.836,2,2,40,30,93,10,10
0.833333333,0.611111111,0.35,0.777777778,0.62962963,0.3,0,0,0,1,107,4,2,0,1,2,2,01:10:24,1.279,1.279,2,2,40,40,94,0,0
0.833333333,0.611111111,0.35,0.785714286,0.642857143,0.3,0,0,0,0,118,5,1,1,0,2,1,01:11:30,14.211,14.211,2,2,60,40,95,20,20
0.833333333,0.611111111,0.35,0.793103448,0.655172414,0.3,0,0,0,0,131,4,2,0,0,2,1,01:12:08,1.548,1.548,2,2,40,40,96,0,0
0.833333333,0.611111111,0.35,0.766666667,0.633333333,0.3,0,0,0,0,129,3,2,0,1,2,1,01:12:37,4.203,4.203,2,2,40,60,97,-20,-20
0.833333333,0.611111111,0.333333333,0.766666667,0.633333333,0.3,0,0,0,0,115,4,2,0,0,1,2,01:14:48,-8.25,-8.25,1,1,0,0,98,0,0
0.837837838,0.621621622,0.333333333,0.766666667,0.633333333,0.3,0,0,0,0,109,4,2,0,1,1,1,01:15:27,-1.36,-1.36,1,1,0,15,99,-15,-15
0.837837838,0.621621622,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,91,4,2,1,0,1,2,01:15:55,-0.639,-0.639,1,1,15,15,100,0,0
0.842105263,0.631578947,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,126,5,2,0,1,1,1,01:16:53,-1.626,-1.626,1,1,15,30,101,-15,-15
0.846153846,0.641025641,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,108,1,2,1,0,1,1,01:17:22,-7.16,-7.16,1,1,30,30,102,0,0
0.85,0.625,0.318181818,0.766666667,0.633333333,0.3,0,0,0,0,97,5,2,2,0,1,1,01:17:48,-18.516,-18.516,1,1,40,30,103,10,10
0.829268293,0.609756098,0.318181818,0.766666667,0.633333333,0.3,0,0,0,0,127,4,2,0,1,1,1,01:18:30,-8.774,-8.774,1,1,40,40,104,0,0
0.829268293,0.609756098,0.304347826,0.766666667,0.633333333,0.3,0,0,0,0,121,4,2,1,0,1,2,01:19:01,-0.407,-0.407,1,1,60,40,105,20,20
0.829268293,0.609756098,0.304347826,0.774193548,0.612903226,0.3,0,0,0,1,118,2,2,0,0,2,1,01:19:57,4.078,4.078,2,2,0,0,106,0,0
0.829268293,0.609756098,0.304347826,0.78125,0.625,0.3,0,0,1,1,128,5,2,1,0,2,1,01:20:31,3.383,3.383,2,2,15,0,107,15,15
0.829268293,0.609756098,0.304347826,0.787878788,0.636363636,0.3,0,0,2,1,132,4,2,0,1,2,1,01:21:06,-3.156,-3.156,2,2,15,15,108,0,0
0.829268293,0.609756098,0.304347826,0.764705882,0.617647059,0.3,0,0,2,0,125,5,1,0,2,2,1,01:21:41,2.329,2.329,2,2,15,30,109,-15,-15
0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.3,0,0,1,0,108,5,2,0,3,2,1,01:22:15,25.54,25.54,2,2,15,40,110,-25,-25
0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.272727273,0,0,0,1,98,3,2,1,0,2,2,01:22:46,10.44,10.44,2,2,30,40,111,-10,-10
0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.25,0,0,0,2,115,2,2,2,0,2,2,01:23:58,4.833,4.833,2,2,40,40,112,0,0
0.829268293,0.609756098,0.304347826,0.777777778,0.611111111,0.25,0,0,0,2,120,4,1,3,0,2,1,01:25:01,5.459,5.459,2,2,60,40,113,20,20
0.829268293,0.609756098,0.304347826,0.783783784,0.621621622,0.25,0,0,0,1,130,4,2,0,0,2,1,01:25:32,6.161,6.161,2,2,40,40,114,0,0
0.829268293,0.609756098,0.304347826,0.789473684,0.605263158,0.25,0,0,0,1,124,3,2,0,1,2,1,01:26:17,2.715,2.715,2,2,40,60,115,-20,-20
0.829268293,0.609756098,0.304347826,0.789473684,0.605263158,0.230769231,0,0,0,1,113,1,1,0,0,2,2,01:26:59,4.032,4.032,2,2,40,40,116,0,0
0.829268293,0.609756098,0.304347826,0.794871795,0.58974359,0.230769231,0,0,0,2,130,3,2,1,0,2,1,01:28:28,3.141,3.141,2,2,60,40,117,20,20
0.833333333,0.619047619,0.304347826,0.794871795,0.58974359,0.230769231,0,0,0,1,109,5,1,0,0,1,1,01:30:29,-1.513,-1.513,1,1,0,0,118,0,0
0.833333333,0.619047619,0.333333333,0.794871795,0.58974359,0.230769231,0,0,0,1,91,3,2,1,0,1,2,01:30:48,-0.836,-0.836,1,1,15,0,119,15,15
0.833333333,0.619047619,0.36,0.794871795,0.58974359,0.230769231,0,0,0,1,100,1,2,2,0,1,2,01:31:21,-6.24,-6.24,1,1,30,0,120,30,30
0.837209302,0.627906977,0.36,0.794871795,0.58974359,0.230769231,0,0,0,1,113,4,1,3,0,1,1,01:31:59,-3.235,-3.235,1,1,40,0,121,40,40
0.837209302,0.627906977,0.36,0.8,0.575,0.230769231,0,0,0,1,130,2,2,0,0,2,1,01:32:45,1.068,1.068,2,2,0,0,122,0,0
0.837209302,0.627906977,0.36,0.780487805,0.56097561,0.230769231,0,1,0,0,125,4,2,1,0,2,1,01:33:11,0.501,0.501,2,2,15,0,123,15,15
0.837209302,0.627906977,0.36,0.780487805,0.56097561,0.285714286,0,1,0,0,106,4,2,0,1,2,2,01:33:37,0.346,0.346,2,2,15,15,124,0,0
0.837209302,0.627906977,0.36,0.785714286,0.571428571,0.285714286,0,2,0,0,123,4,2,0,2,2,1,01:34:16,3.13,3.13,2,2,15,30,125,-15,-15
0.837209302,0.627906977,0.36,0.790697674,0.581395349,0.285714286,0,1,0,0,126,4,2,0,3,2,1,01:34:42,15.33,15.33,2,2,15,40,126,-25,-25
0.840909091,0.636363636,0.36,0.790697674,0.581395349,0.285714286,0,1,0,0,127,4,2,0,0,1,1,01:36:28,-4.514,-4.514,1,1,0,0,127,0,0
0.840909091,0.636363636,0.346153846,0.790697674,0.581395349,0.285714286,0,0,0,0,119,2,2,1,0,1,2,01:36:57,-17.913,-17.913,1,1,15,0,128,15,15
0.840909091,0.636363636,0.37037037,0.790697674,0.581395349,0.285714286,0,0,0,1,91,4,2,0,1,1,2,01:38:01,-0.59,-0.59,1,1,15,15,129,0,0
0.844444444,0.644444444,0.37037037,0.790697674,0.581395349,0.285714286,0,0,0,1,115,2,2,1,0,1,1,01:38:43,-23.13,-23.13,1,1,30,15,130,15,15
0.826086957,0.630434783,0.37037037,0.790697674,0.581395349,0.285714286,0,0,0,1,114,3,2,2,0,1,1,01:39:23,-3.595,-3.595,1,1,40,15,131,25,25
0.829787234,0.638297872,0.37037037,0.790697674,0.581395349,0.285714286,0,0,0,0,119,4,2,0,1,1,1,01:39:56,-5.217,-5.217,1,1,40,30,132,10,10
0.829787234,0.638297872,0.37037037,0.772727273,0.568181818,0.285714286,0,1,0,0,111,5,1,0,0,2,1,01:40:44,0.439,0.439,2,2,0,0,133,0,0
0.829787234,0.638297872,0.37037037,0.777777778,0.577777778,0.285714286,0,1,0,0,132,1,1,0,1,2,1,01:41:10,2.533,2.533,2,2,0,15,134,-15,-15
0.829787234,0.638297872,0.37037037,0.777777778,0.577777778,0.266666667,0,1,0,1,105,4,2,0,2,2,2,01:41:39,2.102,2.102,2,2,0,30,135,-30,-30
0.829787234,0.638297872,0.37037037,0.782608696,0.586956522,0.266666667,0,0,0,1,132,3,1,1,0,2,1,01:42:22,15.387,15.387,2,2,15,30,136,-15,-15
0.829787234,0.638297872,0.37037037,0.782608696,0.586956522,0.3125,0,0,0,1,100,2,2,0,1,2,2,01:43:15,-0.486,-0.486,2,2,15,40,137,-25,-25
0.833333333,0.645833333,0.37037037,0.782608696,0.586956522,0.3125,1,0,0,0,129,4,2,0,0,1,1,01:45:24,0.106,0.106,1,1,0,0,138,0,0
0.833333333,0.645833333,0.392857143,0.782608696,0.586956522,0.3125,1,0,0,0,98,3,2,1,0,1,2,01:45:59,-1.823,-1.823,1,1,15,0,139,15,15
0.833333333,0.645833333,0.413793103,0.782608696,0.586956522,0.3125,1,0,0,0,122,2,2,2,0,1,2,01:46:38,-0.441,-0.441,1,1,30,0,140,30,30
0.836734694,0.653061224,0.413793103,0.782608696,0.586956522,0.3125,0,0,0,0,129,2,2,3,0,1,1,01:47:17,-23.827,-23.827,1,1,40,0,141,40,40
0.836734694,0.653061224,0.413793103,0.787234043,0.595744681,0.3125,0,0,0,0,128,4,2,0,0,2,1,01:48:12,16.358,16.358,2,2,0,0,142,0,0
0.836734694,0.653061224,0.433333333,0.787234043,0.595744681,0.3125,0,0,0,1,96,1,1,0,0,1,2,02:04:05,-20.949,-20.949,1,1,0,0,156,0,0
0.836734694,0.653061224,0.419354839,0.787234043,0.595744681,0.3125,0,0,0,1,96,1,2,1,0,1,2,02:04:50,-8.02,-8.02,1,1,15,0,157,15,15
0.836734694,0.653061224,0.4375,0.787234043,0.595744681,0.3125,0,0,0,1,126,4,1,0,1,1,2,02:05:38,-0.011,-0.011,1,1,15,15,158,0,0
0.84,0.66,0.4375,0.787234043,0.595744681,0.3125,0,0,0,0,113,5,1,0,0,1,1,02:07:02,-1.73,-1.73,1,1,30,30,160,0,0
0.843137255,0.666666667,0.4375,0.787234043,0.595744681,0.3125,0,0,0,0,113,4,2,1,0,1,1,02:07:27,-8.782,-8.782,1,1,40,30,161,10,10
0.843137255,0.666666667,0.4375,0.791666667,0.583333333,0.3125,0,0,0,0,126,4,2,0,0,2,1,02:08:41,0.181,0.181,2,2,0,0,162,0,0
0.843137255,0.666666667,0.4375,0.795918367,0.591836735,0.3125,0,0,0,0,130,5,2,1,0,2,1,02:09:28,2.602,2.602,2,2,15,0,163,15,15
0.843137255,0.666666667,0.4375,0.795918367,0.591836735,0.352941176,0,0,0,0,109,1,2,0,1,2,2,02:10:00,32.314,32.314,2,2,15,15,164,0,0
0.843137255,0.666666667,0.4375,0.8,0.58,0.352941176,0,0,0,0,128,3,2,0,2,2,1,02:10:55,2.846,2.846,2,2,15,30,165,-15,-15
0.843137255,0.666666667,0.4375,0.803921569,0.568627451,0.352941176,0,0,0,1,130,4,2,1,0,2,1,02:11:35,3.364,3.364,2,2,30,30,166,0,0
0.843137255,0.666666667,0.4375,0.788461538,0.557692308,0.352941176,0,0,0,1,127,5,1,2,0,2,1,02:12:15,0.566,0.566,2,2,40,30,167,10,10
0.843137255,0.666666667,0.4375,0.788461538,0.557692308,0.333333333,0,0,0,2,114,3,2,0,1,2,2,02:12:53,2.041,2.041,2,2,40,40,168,0,0
0.843137255,0.666666667,0.4375,0.79245283,0.566037736,0.333333333,0,0,0,1,130,5,1,1,0,2,1,02:13:38,19.513,19.513,2,2,60,40,169,20,20
0.843137255,0.666666667,0.4375,0.796296296,0.574074074,0.333333333,0,0,0,1,118,3,2,0,0,2,1,02:14:08,2.989,2.989,2,2,40,40,170,0,0
0.843137255,0.666666667,0.4375,0.8,0.581818182,0.333333333,0,0,0,0,129,4,1,0,0,2,1,02:15:48,2.991,2.991,2,2,40,40,172,0,0
0.843137255,0.666666667,0.4375,0.803571429,0.589285714,0.333333333,0,0,0,0,128,5,2,0,1,2,1,02:16:15,2.423,2.423,2,2,40,60,173,-20,-20
0.843137255,0.666666667,0.454545455,0.803571429,0.589285714,0.333333333,0,0,0,0,92,4,2,0,0,1,2,02:16:58,-8.025,-8.025,1,1,0,0,174,0,0
0.846153846,0.673076923,0.454545455,0.803571429,0.589285714,0.333333333,0,0,0,0,114,4,2,1,0,1,1,02:17:46,-8.321,-8.321,1,1,15,0,175,15,15
0.849056604,0.660377358,0.454545455,0.803571429,0.589285714,0.333333333,0,0,0,0,127,4,2,2,0,1,1,02:18:16,-4.057,-4.057,1,1,30,0,176,30,30
0.849056604,0.660377358,0.441176471,0.803571429,0.589285714,0.333333333,0,0,1,0,95,3,1,0,1,1,2,02:18:53,1.984,1.984,1,1,30,15,177,15,15
0.849056604,0.660377358,0.457142857,0.803571429,0.589285714,0.333333333,0,0,1,1,104,2,2,0,2,1,2,02:19:39,-0.011,-0.011,1,1,30,30,178,0,0
