,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,Player_socre_margin,Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,y_value_p1,y_value_p2,Momentum difference,point_victor_p2
27,0.833333333,0.666666667,0.25,0.7,0.5,0.5,0,1,0,0,0.242424242,5,1,0,0,1,1,00:17:49,0.032258065,0.242424242,1,0,0,0,46.02234667,29.1679,16.85444667,1
28,0.846153846,0.692307692,0.25,0.7,0.5,0.5,0,0,0,0,0.636363636,4,2,1,0,1,1,00:18:25,0.064516129,0.636363636,1,0,15,0,54.43378384,31.3642,23.06958384,1
29,0.857142857,0.714285714,0.25,0.7,0.5,0.5,0,0,0,0,0.060606061,2,2,2,0,1,1,00:18:50,0.096774194,0.060606061,1,0,30,0,46.71350143,19.4452,27.26830143,1
30,0.857142857,0.714285714,0.2,0.7,0.5,0.5,0,0,1,0,0.151515152,2,2,3,0,1,2,00:19:20,0.064516129,0.151515152,1,0,40,0,60.32750143,22.8982,37.42930143,2
31,0.857142857,0.714285714,0.166666667,0.7,0.5,0.5,0,0,1,0,-0.121212121,2,2,0,1,1,2,00:20:03,0.032258065,-0.121212121,1,0,40,15,44.55916809,23.50587,21.05329809,2
32,0.866666667,0.666666667,0.166666667,0.7,0.5,0.5,0,0,2,0,0.090909091,1,1,0,2,1,1,00:20:55,0,0.090909091,1,0,40,30,48.00512334,25.01294,22.99218334,2
33,0.866666667,0.666666667,0.285714286,0.7,0.5,0.5,0,0,1,0,-0.333333333,4,1,0,3,1,2,00:21:27,0.032258065,-0.333333333,1,0,40,40,45.26017096,32.31561,12.94456096,1
34,0.875,0.6875,0.285714286,0.7,0.5,0.5,0,0,1,0,0.181818182,4,2,1,0,1,1,00:22:19,0.064516129,0.181818182,1,0,60,40,55.12050679,25.3492,29.77130679,1
35,0.875,0.6875,0.285714286,0.727272727,0.545454545,0.5,0,0,0,0,0.060606061,5,1,0,0,2,1,00:24:22,0.032258065,0.060606061,0,1,0,0,25.46657679,43.89783909,-18.4312623,2
36,0.875,0.6875,0.285714286,0.727272727,0.545454545,0.333333333,0,0,0,1,-0.545454545,3,2,0,1,2,2,00:24:53,0.064516129,-0.545454545,0,1,0,15,16.51317679,44.48610908,-27.9729323,1
37,0.875,0.6875,0.285714286,0.75,0.583333333,0.333333333,0,0,0,1,0.515151515,4,2,1,0,2,1,00:26:05,0.032258065,0.515151515,0,1,15,15,34.44817679,54.56769666,-20.11951988,2
38,0.875,0.6875,0.285714286,0.769230769,0.615384615,0.333333333,0,0,0,1,0.575757576,1,2,0,1,2,1,00:26:30,0,0.575757576,0,1,15,30,24.80017679,53.44373846,-28.64356167,2
39,0.875,0.6875,0.285714286,0.769230769,0.615384615,0.5,0,0,0,0,0.090909091,3,2,0,2,2,2,00:26:56,-0.032258065,0.090909091,0,1,15,40,24.93417679,52.46940846,-27.53523167,2
40,0.875,0.6875,0.375,0.769230769,0.615384615,0.5,0,0,0,0,-0.03030303,3,2,0,0,1,2,00:27:42,0,-0.03030303,1,0,0,0,42.4402925,23.74873846,18.69155404,1
41,0.882352941,0.705882353,0.375,0.769230769,0.615384615,0.5,0,0,0,1,0.363636364,4,2,1,0,1,1,00:28:37,0.032258065,0.363636364,1,0,15,0,51.70923588,35.06173846,16.64749742,1
42,0.888888889,0.722222222,0.375,0.769230769,0.615384615,0.5,0,0,0,1,0.212121212,5,1,2,0,1,1,00:29:06,0.064516129,0.212121212,1,0,30,0,54.87625222,34.09013846,20.78611376,1
43,0.888888889,0.722222222,0.333333333,0.769230769,0.615384615,0.5,0,0,0,1,-0.121212121,3,2,3,0,1,2,00:29:32,0.032258065,-0.121212121,1,0,40,0,53.33268555,28.74573846,24.5869471,2
44,0.888888889,0.722222222,0.4,0.769230769,0.615384615,0.5,0,0,0,0,-0.212121212,1,2,0,1,1,2,00:30:17,0.064516129,-0.212121212,1,0,40,15,36.14835222,21.25940846,14.88894376,1
45,0.888888889,0.722222222,0.4,0.785714286,0.642857143,0.5,0,0,0,0,0.727272727,4,1,0,0,2,1,00:32:34,0.032258065,0.727272727,0,1,0,0,32.97942222,51.50393,-18.52450778,2
46,0.888888889,0.722222222,0.4,0.733333333,0.6,0.5,0,1,0,0,0.666666667,4,1,0,0,2,1,00:33:33,0.032258065,0.666666667,0,1,15,15,32.17742222,52.11156333,-19.93414111,2
47,0.888888889,0.722222222,0.4,0.733333333,0.6,0.4,0,1,0,1,-0.212121212,3,2,0,1,2,2,00:33:58,0.064516129,-0.212121212,0,1,15,30,21.76502222,51.59083333,-29.82581111,1
48,0.888888889,0.722222222,0.4,0.733333333,0.6,0.333333333,0,1,0,1,-0.060606061,1,2,1,0,2,2,00:34:46,0.096774194,-0.060606061,0,1,30,30,23.47002222,44.72916333,-21.25914111,1
49,0.888888889,0.722222222,0.4,0.733333333,0.6,0.285714286,0,0,0,2,-0.060606061,1,2,2,0,2,2,00:36:02,0.129032258,-0.060606061,0,1,40,30,27.47002222,48.69586333,-21.22584111,1
50,0.894736842,0.736842105,0.4,0.733333333,0.6,0.285714286,0,0,0,1,0.212121212,3,2,0,0,1,1,00:37:18,0.161290323,0.212121212,1,0,0,0,43.93637737,29.47153333,14.46484403,1
51,0.894736842,0.736842105,0.363636364,0.733333333,0.6,0.285714286,0,0,0,1,-0.242424242,3,2,1,0,1,2,00:37:44,0.129032258,-0.242424242,1,0,15,0,43.99755919,25.70653333,18.29102585,2
52,0.9,0.75,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,0.424242424,2,2,0,1,1,1,00:38:26,0.161290323,0.424242424,1,0,15,15,44.53118182,28.14520333,16.38597849,1
53,0.904761905,0.714285714,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,0.212121212,4,2,1,0,1,1,00:38:54,0.129032258,0.212121212,1,0,30,15,49.82755468,25.42153333,24.40602134,2
54,0.909090909,0.727272727,0.363636364,0.733333333,0.6,0.285714286,0,0,0,0,0.636363636,4,2,0,1,1,1,00:39:29,0.161290323,0.636363636,1,0,30,30,51.54689364,35.25220333,16.2946903,1
55,0.869565217,0.695652174,0.363636364,0.733333333,0.6,0.285714286,0,0,1,0,0.151515152,3,2,1,0,1,1,00:40:01,0.129032258,0.151515152,1,0,40,30,52.96258138,22.46953333,30.49304805,2
56,0.875,0.708333333,0.363636364,0.733333333,0.6,0.285714286,0,0,1,0,0.181818182,3,2,0,1,1,1,00:40:33,0.161290323,0.181818182,1,0,40,40,49.47318265,27.08720333,22.38597932,1
57,0.875,0.708333333,0.333333333,0.733333333,0.6,0.285714286,0,0,1,0,-0.606060606,3,2,1,0,1,2,00:41:23,0.129032258,-0.606060606,1,0,60,40,45.15233416,14.69453333,30.45780083,2
58,0.88,0.68,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,0.454545455,2,2,0,0,1,1,00:42:31,0.096774194,0.454545455,1,0,40,40,44.23816733,24.32953333,19.908634,2
59,0.884615385,0.692307692,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,0.393939394,2,2,0,1,1,1,00:43:18,0.129032258,0.393939394,1,0,40,60,43.53885949,27.74420333,15.79465615,1
60,0.888888889,0.703703704,0.333333333,0.733333333,0.6,0.285714286,0,0,0,0,0.666666667,4,2,0,0,1,1,00:43:59,0.161290323,0.666666667,1,0,40,40,51.54294482,31.43653333,20.10641148,1
61,0.892857143,0.714285714,0.333333333,0.733333333,0.6,0.285714286,0,0,0,1,0.727272727,3,2,1,0,1,1,00:44:29,0.193548387,0.727272727,1,0,60,40,54.28323833,36.28853333,17.994705,1
62,0.892857143,0.714285714,0.333333333,0.6875,0.5625,0.285714286,0,1,0,1,0.454545455,4,2,0,0,2,1,00:47:04,0.161290323,0.454545455,0,1,0,0,30.14090833,54.994205,-24.85329667,2
63,0.892857143,0.714285714,0.333333333,0.647058824,0.529411765,0.285714286,0,2,0,1,0.272727273,4,2,0,1,2,1,00:47:27,0.129032258,0.272727273,0,1,0,15,27.73490833,58.34527059,-30.61036226,2
64,0.892857143,0.714285714,0.333333333,0.666666667,0.555555556,0.285714286,0,2,0,0,0.454545455,1,2,0,2,2,1,00:47:52,0.096774194,0.454545455,0,1,0,30,23.69090833,52.59258112,-28.90167279,2
65,0.892857143,0.714285714,0.333333333,0.684210526,0.578947368,0.285714286,0,1,0,0,0.424242424,4,1,0,3,2,1,00:48:17,0.064516129,0.424242424,0,1,0,40,28.62330833,60.0040821,-31.38077377,2
66,0.862068966,0.689655172,0.333333333,0.684210526,0.578947368,0.285714286,1,0,0,0,0.575757576,4,2,0,0,1,1,00:49:17,0.096774194,0.575757576,1,0,0,0,51.51899781,29.8090421,21.70995571,1
67,0.862068966,0.689655172,0.384615385,0.684210526,0.578947368,0.285714286,1,0,0,0,-0.181818182,3,2,1,0,1,2,00:49:38,0.129032258,-0.181818182,1,0,15,0,45.83912602,19.8840421,25.95508392,1
68,0.862068966,0.689655172,0.357142857,0.684210526,0.578947368,0.285714286,1,0,0,0,0.090909091,3,2,2,0,1,2,00:50:14,0.096774194,0.090909091,1,0,30,0,53.31680734,23.4930421,29.82376524,2
69,0.866666667,0.666666667,0.357142857,0.684210526,0.578947368,0.285714286,0,0,1,0,0.303030303,2,2,0,1,1,1,00:51:10,0.064516129,0.303030303,1,0,30,15,48.58919953,26.1167121,22.47248742,2
70,0.838709677,0.64516129,0.357142857,0.684210526,0.578947368,0.285714286,1,0,1,0,0.545454545,4,2,0,2,1,1,00:51:54,0.096774194,0.545454545,1,0,30,30,57.22329866,37.8413821,19.38191656,1
71,0.838709677,0.64516129,0.333333333,0.684210526,0.578947368,0.285714286,1,0,2,0,-0.333333333,5,1,1,0,1,2,00:52:21,0.064516129,-0.333333333,1,0,40,30,59.16388913,21.0624421,38.10144703,2
72,0.838709677,0.64516129,0.3125,0.684210526,0.578947368,0.285714286,1,0,2,0,-0.090909091,2,2,0,1,1,2,00:53:06,0.032258065,-0.090909091,1,0,40,40,52.9389058,23.1537121,29.7851937,2
73,0.84375,0.625,0.3125,0.684210526,0.578947368,0.285714286,0,0,2,0,0.636363636,1,2,0,2,1,1,00:54:11,0,0.636363636,1,0,40,60,56.64843938,32.5943821,24.05405727,2
74,0.84375,0.625,0.3125,0.7,0.6,0.285714286,0,0,1,0,0.545454545,4,1,0,0,2,1,00:54:56,-0.032258065,0.545454545,0,1,0,0,35.69550938,47.19593,-11.50042063,2
75,0.84375,0.625,0.3125,0.714285714,0.619047619,0.285714286,0,0,0,0,0.606060606,5,1,0,1,2,1,00:55:20,-0.064516129,0.606060606,0,1,0,15,32.24750938,54.56469524,-22.31718586,2
76,0.84375,0.625,0.3125,0.727272727,0.636363636,0.285714286,0,0,0,0,0,3,2,0,2,2,1,00:55:50,-0.096774194,0,0,1,0,30,21.04410938,47.75987,-26.71576062,2
77,0.84375,0.625,0.3125,0.727272727,0.636363636,0.375,0,0,1,0,-0.212121212,5,1,0,3,2,2,00:57:08,-0.129032258,-0.212121212,0,1,0,40,30.07050938,55.07169,-25.00118062,2
78,0.84375,0.625,0.294117647,0.727272727,0.636363636,0.375,0,0,1,0,-0.060606061,1,2,0,0,1,2,00:59:22,-0.161290323,-0.060606061,1,0,0,0,43.18757173,18.25995,24.92762173,2
79,0.848484848,0.636363636,0.294117647,0.727272727,0.636363636,0.375,0,0,1,0,0.090909091,4,2,0,1,1,1,01:00:17,-0.129032258,0.090909091,1,0,0,15,49.49003053,28.68162,20.80841053,1
80,0.823529412,0.617647059,0.294117647,0.727272727,0.636363636,0.375,1,0,0,0,0.060606061,5,1,1,0,1,1,01:00:41,-0.096774194,0.060606061,1,0,15,15,48.88271824,25.09735,23.78536824,1
81,0.828571429,0.6,0.294117647,0.727272727,0.636363636,0.375,1,0,0,0,0.333333333,4,1,2,0,1,1,01:01:21,-0.129032258,0.333333333,1,0,30,15,54.25957521,26.55635,27.70322522,2
82,0.828571429,0.6,0.277777778,0.727272727,0.636363636,0.375,1,0,0,0,-0.393939394,4,2,0,1,1,2,01:02:05,-0.161290323,-0.393939394,1,0,30,30,39.92407064,24.51562,15.40845064,2
83,0.828571429,0.6,0.315789474,0.727272727,0.636363636,0.375,0,0,0,1,-0.393939394,1,2,0,2,1,2,01:02:54,-0.129032258,-0.393939394,1,0,30,40,32.23916655,28.48229,3.756876549,1
84,0.833333333,0.611111111,0.315789474,0.727272727,0.636363636,0.375,0,0,0,2,-0.181818182,3,1,1,0,1,1,01:03:50,-0.096774194,-0.181818182,1,0,40,40,40.07559813,29.98935,10.08624813,1
85,0.833333333,0.611111111,0.35,0.727272727,0.636363636,0.375,0,0,0,2,0.363636364,1,2,2,0,1,2,01:04:21,-0.064516129,0.363636364,1,0,60,40,50.52372444,36.27395,14.24977445,1
86,0.833333333,0.611111111,0.35,0.739130435,0.652173913,0.375,0,0,0,1,0.151515152,5,1,0,0,2,1,01:05:38,-0.096774194,0.151515152,0,1,0,0,26.26679444,51.34976696,-25.08297252,2
87,0.833333333,0.611111111,0.35,0.75,0.666666667,0.375,0,0,0,0,0.606060606,5,2,0,1,2,1,01:06:16,-0.129032258,0.606060606,0,1,0,15,33.39839444,56.65028334,-23.25188889,2
88,0.833333333,0.611111111,0.35,0.75,0.666666667,0.333333333,0,0,0,0,0.090909091,4,2,0,2,2,2,01:06:46,-0.096774194,0.090909091,0,1,0,30,26.68139444,53.93120333,-27.24980889,1
89,0.833333333,0.611111111,0.35,0.76,0.64,0.333333333,0,0,0,1,0.696969697,3,2,1,0,2,1,01:07:42,-0.064516129,0.696969697,0,1,15,30,34.30139444,55.22073,-20.91933556,1
90,0.833333333,0.611111111,0.35,0.769230769,0.615384615,0.333333333,0,0,0,2,0.787878788,4,2,2,0,2,1,01:08:26,-0.032258065,0.787878788,0,1,30,30,41.65439444,64.68406846,-23.02967401,1
91,0.833333333,0.611111111,0.35,0.777777778,0.62962963,0.333333333,0,0,0,2,0.454545455,1,2,3,0,2,1,01:09:19,-0.064516129,0.454545455,0,1,40,30,34.79339444,53.95967815,-19.16628371,2
92,0.833333333,0.611111111,0.35,0.777777778,0.62962963,0.3,0,0,0,1,-0.03030303,4,2,0,1,2,2,01:10:24,-0.032258065,-0.03030303,0,1,40,40,25.07739444,54.08534815,-29.00795371,1
93,0.833333333,0.611111111,0.35,0.785714286,0.642857143,0.3,0,0,0,0,0.303030303,5,1,1,0,2,1,01:11:30,-0.064516129,0.303030303,0,1,60,40,32.27179444,46.98993,-14.71813556,2
94,0.833333333,0.611111111,0.35,0.793103448,0.655172414,0.3,0,0,0,0,0.696969697,4,2,0,0,2,1,01:12:08,-0.096774194,0.696969697,0,1,40,40,32.45139444,51.28763345,-18.83623901,2
95,0.833333333,0.611111111,0.35,0.766666667,0.633333333,0.3,0,0,0,0,0.636363636,3,2,0,1,2,1,01:12:37,-0.129032258,0.636363636,0,1,40,60,29.49939444,52.26153333,-22.76213889,2
96,0.833333333,0.611111111,0.333333333,0.766666667,0.633333333,0.3,0,0,0,0,0.212121212,4,2,0,0,1,2,01:14:48,-0.161290323,0.212121212,1,0,0,0,46.88905777,28.14753333,18.74152444,2
97,0.837837838,0.621621622,0.333333333,0.766666667,0.633333333,0.3,0,0,0,0,0.03030303,4,2,0,1,1,1,01:15:27,-0.129032258,0.03030303,1,0,0,15,42.32389847,27.70820333,14.61569514,1
98,0.837837838,0.621621622,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,-0.515151515,4,2,1,0,1,2,01:15:55,-0.161290323,-0.515151515,1,0,15,15,47.68347423,18.52353333,29.1599409,2
99,0.842105263,0.631578947,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,0.545454545,5,2,0,1,1,1,01:16:53,-0.129032258,0.545454545,1,0,15,30,57.70453382,36.67520333,21.02933049,1
100,0.846153846,0.641025641,0.318181818,0.766666667,0.633333333,0.3,0,0,1,0,0,1,2,1,0,1,1,01:17:22,-0.096774194,0,1,0,30,30,45.96818011,16.64053333,29.32764678,1
101,0.85,0.625,0.318181818,0.766666667,0.633333333,0.3,0,0,0,0,-0.333333333,5,2,2,0,1,1,01:17:48,-0.129032258,-0.333333333,1,0,40,30,47.67849409,20.82953333,26.84896076,2
102,0.829268293,0.609756098,0.318181818,0.766666667,0.633333333,0.3,0,0,0,0,0.575757576,4,2,0,1,1,1,01:18:30,-0.096774194,0.575757576,1,0,40,40,49.34746836,34.92620333,14.42126503,1
103,0.829268293,0.609756098,0.304347826,0.766666667,0.633333333,0.3,0,0,0,0,0.393939394,4,2,1,0,1,2,01:19:01,-0.064516129,0.393939394,1,0,60,40,53.12534188,30.55353333,22.57180855,1
104,0.829268293,0.609756098,0.304347826,0.774193548,0.612903226,0.3,0,0,0,1,0.303030303,2,2,0,0,2,1,01:19:57,-0.032258065,0.303030303,0,1,0,0,22.68901188,47.60862677,-24.91961489,1
105,0.829268293,0.609756098,0.304347826,0.78125,0.625,0.3,0,0,1,1,0.606060606,5,2,1,0,2,1,01:20:31,-0.064516129,0.606060606,0,1,15,0,43.54901188,58.183405,-14.63439312,2
106,0.829268293,0.609756098,0.304347826,0.787878788,0.636363636,0.3,0,0,2,1,0.727272727,4,2,0,1,2,1,01:21:06,-0.096774194,0.727272727,0,1,15,15,45.40301188,61.96189697,-16.55888509,2
107,0.829268293,0.609756098,0.304347826,0.764705882,0.617647059,0.3,0,0,2,0,0.515151515,5,1,0,2,2,1,01:21:41,-0.129032258,0.515151515,0,1,15,30,43.62941188,57.95262294,-14.32321106,2
108,0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.3,0,0,1,0,0,5,2,0,3,2,1,01:22:15,-0.096774194,0,0,1,15,40,31.52901188,56.40525428,-24.8762424,1
109,0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.272727273,0,0,0,1,-0.303030303,3,2,1,0,2,2,01:22:46,-0.064516129,-0.303030303,0,1,30,40,23.06901188,43.75206247,-20.68305059,1
110,0.829268293,0.609756098,0.304347826,0.771428571,0.6,0.25,0,0,0,2,0.212121212,2,2,2,0,2,2,01:23:58,-0.032258065,0.212121212,0,1,40,40,31.73601188,54.49974428,-22.7637324,1
111,0.829268293,0.609756098,0.304347826,0.777777778,0.611111111,0.25,0,0,0,2,0.363636364,4,1,3,0,2,1,01:25:01,-0.064516129,0.363636364,0,1,60,40,38.67441188,57.54276333,-18.86835145,2
112,0.829268293,0.609756098,0.304347826,0.783783784,0.621621622,0.25,0,0,0,1,0.666666667,4,2,0,0,2,1,01:25:32,-0.096774194,0.666666667,0,1,40,40,31.80101188,56.5683273,-24.76731542,2
113,0.829268293,0.609756098,0.304347826,0.789473684,0.605263158,0.25,0,0,0,1,0.484848485,3,2,0,1,2,1,01:26:17,-0.064516129,0.484848485,0,1,40,60,27.24501188,56.1667,-28.92168812,1
114,0.829268293,0.609756098,0.304347826,0.789473684,0.605263158,0.230769231,0,0,0,1,0.151515152,1,1,0,0,2,2,01:26:59,-0.032258065,0.151515152,0,1,40,40,19.66741188,44.27146846,-24.60405658,1
115,0.829268293,0.609756098,0.304347826,0.794871795,0.58974359,0.230769231,0,0,0,2,0.666666667,3,2,1,0,2,1,01:28:28,0,0.666666667,0,1,60,40,33.65101188,60.3959659,-26.74495402,1
116,0.833333333,0.619047619,0.304347826,0.794871795,0.58974359,0.230769231,0,0,0,1,0.03030303,5,1,0,0,1,1,01:30:29,0.032258065,0.03030303,1,0,0,0,43.17751023,30.2750359,12.90247432,1
117,0.833333333,0.619047619,0.333333333,0.794871795,0.58974359,0.230769231,0,0,0,1,-0.515151515,3,2,1,0,1,2,01:30:48,0.064516129,-0.515151515,1,0,15,0,39.16466095,22.1236359,17.04102505,1
118,0.833333333,0.619047619,0.36,0.794871795,0.58974359,0.230769231,0,0,0,1,-0.242424242,1,2,2,0,1,2,01:31:21,0.096774194,-0.242424242,1,0,30,0,42.60112762,21.4326359,21.16849172,1
119,0.837209302,0.627906977,0.36,0.794871795,0.58974359,0.230769231,0,0,0,1,0.151515152,4,1,3,0,1,1,01:31:59,0.129032258,0.151515152,1,0,40,0,54.9745393,29.7290359,25.2455034,1
120,0.837209302,0.627906977,0.36,0.8,0.575,0.230769231,0,0,0,1,0.666666667,2,2,0,0,2,1,01:32:45,0.161290323,0.666666667,0,1,0,0,27.9248093,51.98981846,-24.06500916,1
121,0.837209302,0.627906977,0.36,0.780487805,0.56097561,0.230769231,0,1,0,0,0.515151515,4,2,1,0,2,1,01:33:11,0.129032258,0.515151515,0,1,15,0,34.2198093,49.86592944,-15.64612014,2
122,0.837209302,0.627906977,0.36,0.780487805,0.56097561,0.285714286,0,1,0,0,-0.060606061,4,2,0,1,2,2,01:33:37,0.096774194,-0.060606061,0,1,15,15,24.8508093,49.00206098,-24.15125168,2
123,0.837209302,0.627906977,0.36,0.785714286,0.571428571,0.285714286,0,2,0,0,0.454545455,4,2,0,2,2,1,01:34:16,0.064516129,0.454545455,0,1,15,30,29.4178093,59.86289857,-30.44508927,2
124,0.837209302,0.627906977,0.36,0.790697674,0.581395349,0.285714286,0,1,0,0,0.545454545,4,2,0,3,2,1,01:34:42,0.032258065,0.545454545,0,1,15,40,30.6208093,63.38877023,-32.76796093,2
125,0.840909091,0.636363636,0.36,0.790697674,0.581395349,0.285714286,0,1,0,0,0.575757576,4,2,0,0,1,1,01:36:28,0.064516129,0.575757576,1,0,0,0,49.77865045,32.45643023,17.32222022,1
126,0.840909091,0.636363636,0.346153846,0.790697674,0.581395349,0.285714286,0,0,0,0,0.333333333,2,2,1,0,1,2,01:36:57,0.032258065,0.333333333,1,0,15,0,48.45446584,25.21513023,23.2393356,2
127,0.840909091,0.636363636,0.37037037,0.790697674,0.581395349,0.285714286,0,0,0,1,-0.515151515,4,2,0,1,1,2,01:38:01,0.064516129,-0.515151515,1,0,15,15,37.64222082,28.70380023,8.938420589,1
