,p1_Turning_point_count,p2_Turning_point_count,continuous_wins_p1,continuous_wins_p2
175,0,1,0,1
176,0,0,1,0
177,0,0,0,1
178,0,0,0,0
179,0,0,1,0
180,0,1,1,0
181,0,0,1,0
182,0,0,0,0
183,0,0,0,1
184,0,0,1,0
185,1,1,0,1
186,0,0,1,0
187,0,0,1,0
188,0,0,0,1
189,0,0,0,1
190,1,1,0,0
191,0,0,1,0
192,0,0,1,0
193,0,0,1,0
194,0,0,0,1
195,1,1,0,0
196,0,0,1,0
197,0,0,0,1
198,0,0,0,1
199,0,0,0,1
200,1,1,0,0
201,0,0,0,0
202,0,0,0,1
203,0,0,0,0
204,0,0,0,0
205,1,1,0,1
206,0,0,1,0
207,0,0,0,1
208,0,0,0,1
209,0,0,1,0
210,1,0,1,0
211,0,0,1,0
212,0,0,0,0
213,0,0,0,1
214,0,0,0,0
215,0,1,0,0
216,0,0,1,0
217,0,0,0,0
218,0,0,0,1
219,0,0,0,0
220,1,0,0,1
221,0,0,0,0
222,0,0,1,0
223,0,0,0,1
224,0,0,0,1
225,0,1,1,0
226,0,0,1,0
227,0,0,1,0
228,0,0,0,0
229,0,0,0,1
230,1,1,1,0
231,0,0,0,1
232,0,0,0,1
233,0,0,1,0
234,0,0,1,0
235,0,1,0,1
236,0,0,0,0
237,0,0,1,0
238,0,0,1,0
239,0,0,0,0
240,1,0,1,0
241,0,0,0,1
242,0,0,1,0
243,0,0,0,1
244,0,0,0,0
245,0,1,1,0
246,0,0,0,0
247,0,0,1,0
248,0,0,0,0
249,0,0,0,1
250,1,1,1,0
251,0,0,0,1
252,0,0,0,1
253,0,0,0,0
254,0,0,1,0
255,1,1,1,0
256,0,0,0,1
257,0,0,1,0
258,0,0,0,1
259,0,0,0,1
260,1,1,1,0
261,0,0,0,0
262,0,0,0,1
263,0,0,1,0
264,0,0,0,1
265,1,1,1,0
266,0,0,1,0
267,0,0,0,0
268,0,0,0,1
269,0,0,1,0
270,1,0,1,0
271,0,0,0,1
272,0,0,0,1
273,0,0,1,0
274,0,0,1,0
275,0,1,0,0
276,0,0,1,0
277,0,0,0,1
278,0,0,0,1
279,0,0,1,0
280,1,0,0,1
281,0,0,0,1
282,0,0,0,0
283,0,0,0,1
284,0,0,0,0
285,1,1,0,1
286,0,0,0,0
287,0,0,1,0
288,0,0,1,0
289,0,0,1,0
290,1,1,0,0
291,0,0,0,1
292,0,0,1,0
293,0,0,0,1
294,0,0,0,1
295,1,1,0,0
296,0,0,1,0
297,0,0,1,0
298,0,0,0,1
299,0,0,1,0
300,1,1,0,0
301,0,0,0,1
302,0,0,0,1
303,0,0,1,0
304,0,0,0,1
305,1,1,0,0
306,0,0,1,0
307,0,0,0,1
308,0,0,1,0
309,0,0,1,0
310,1,1,0,0
311,0,0,0,1
312,0,0,0,1
313,0,0,0,1
314,0,0,0,0
315,1,1,0,1
316,0,0,1,0
317,0,0,0,1
318,0,0,0,1
319,0,0,0,0
320,0,0,1,0
321,0,0,0,1
322,0,0,1,0
323,0,0,0,1
324,0,0,0,1
325,1,1,0,0
326,0,0,1,0
327,0,0,1,0
328,0,0,1,0
329,0,0,0,0
330,1,1,0,1
331,0,0,0,0
332,0,0,0,1
333,0,0,0,0
334,0,0,1,0
335,0,1,1,0
336,0,0,1,0
337,0,0,0,0
338,0,0,0,1
339,0,0,0,1
340,1,0,0,1
341,0,0,0,0
342,0,0,1,0
343,0,0,1,0
344,0,0,1,0
345,1,1,0,0
346,0,0,1,0
347,0,0,0,1
348,0,0,0,1
349,0,0,0,1
350,1,1,0,0
351,0,0,1,0
352,0,0,1,0
353,0,0,1,0
354,0,0,0,0
355,1,1,0,1
356,0,0,1,0
357,0,0,0,1
358,0,0,0,1
359,0,0,1,0
360,1,1,0,0
361,0,0,0,0
362,0,0,1,0
363,0,0,0,1
364,0,0,1,0
365,1,1,0,0
366,0,0,0,1
367,0,0,0,1
368,0,0,1,0
369,0,0,0,1
370,1,1,0,0
371,0,0,1,0
372,0,0,1,0
373,0,0,1,0
374,0,0,0,0
375,1,1,0,1
376,0,0,1,0
377,0,0,0,1
378,0,0,0,0
379,0,0,0,0
380,1,1,0,1
381,0,0,0,1
382,0,0,0,1
383,0,0,1,0
384,0,0,1,0
385,1,1,0,0
386,0,0,0,1
387,0,0,1,0
388,0,0,1,0
389,0,0,1,0
390,0,1,0,0
391,0,0,1,0
392,0,0,1,0
393,0,0,0,1
394,0,0,0,1
395,0,1,0,1
396,0,0,0,0
397,0,0,1,0
398,0,0,0,1
399,0,0,1,0
400,1,1,1,0
401,0,0,0,0
402,0,0,0,1
403,0,0,0,1
404,0,0,1,0
405,1,1,0,1
406,0,0,0,0
407,0,0,1,0
408,0,0,1,0
409,0,0,1,0
410,1,1,0,0
411,0,0,1,0
412,0,0,0,1
413,0,0,0,1
414,0,0,0,1
415,0,1,1,0
416,0,0,1,0
417,0,0,0,1
418,0,0,0,0
419,0,0,0,1
420,0,0,0,1
421,0,0,0,1
422,0,0,1,0
423,0,0,1,0
424,0,0,1,0
425,1,1,0,1
426,0,0,0,0
427,0,0,1,0
428,0,0,0,0
429,0,0,1,0
430,1,1,0,1
431,0,0,0,1
432,0,0,0,1
433,0,0,1,0
434,0,0,1,0
435,1,1,0,1
436,0,0,0,0
437,0,0,1,0
438,0,0,1,0
439,0,0,1,0
440,1,1,0,0
441,0,0,0,1
442,0,0,0,1
443,0,0,1,0
444,0,0,0,1
445,1,1,0,0
446,0,0,1,0
447,0,0,1,0
448,0,0,0,1
449,0,0,1,0
450,1,1,0,0
451,0,0,0,0
452,0,0,1,0
453,0,0,0,1
454,0,0,0,1
455,1,1,0,1
456,0,0,0,0
457,0,0,1,0
458,0,0,1,0
459,0,0,1,0
460,1,1,0,0
461,0,0,0,1
462,0,0,0,0
463,0,0,0,1
464,0,0,1,0
465,1,1,0,1
466,0,0,0,0
467,0,0,1,0
468,0,0,1,0
469,0,0,1,0
470,1,1,0,1
471,0,0,0,0
472,0,0,0,1
473,0,0,0,1
474,0,0,0,1
475,1,1,0,0
476,0,0,1,0
477,0,0,0,1
478,0,0,0,1
479,0,0,1,0
480,0,1,1,0
481,0,0,1,0
482,0,0,0,0
483,0,0,1,0
484,0,0,0,0
485,1,1,0,1
486,0,0,0,0
487,0,0,1,0
488,0,0,0,1
489,0,0,0,1
490,0,0,0,1
491,0,0,0,0
492,0,0,0,1
493,0,0,1,0
494,0,0,0,1
495,1,1,0,1
496,0,0,1,0
497,0,0,0,0
498,0,0,0,1
499,0,0,0,1
500,1,1,0,1
501,0,0,0,0
502,0,0,1,0
503,0,0,1,0
504,0,0,1,0
505,1,1,0,1
506,0,0,0,1
507,0,0,0,0
508,0,0,0,1
509,0,0,0,1
510,1,1,0,1
511,0,0,0,0
512,0,0,1,0
513,0,0,1,0
514,0,0,1,0
515,1,1,0,0
516,0,0,1,0
517,0,0,0,1
518,0,0,1,0
519,0,0,0,1
520,0,0,0,1
521,0,0,0,0
522,0,0,0,1
523,0,0,1,0
524,0,0,0,1
525,0,1,0,1
526,0,0,0,0
527,0,0,1,0
528,0,0,0,1
529,0,0,0,1
530,0,1,0,1
531,0,0,0,0
532,0,0,0,1
533,0,0,1,0
534,0,0,1,0
535,0,1,1,0
536,0,0,0,0
537,0,0,0,1
538,0,0,0,1
539,0,0,1,0
540,1,1,0,0
541,0,0,0,0
542,0,0,0,1
543,0,0,1,0
544,0,0,1,0
545,1,1,1,0
546,0,0,0,0
547,0,0,0,1
548,0,0,0,1
549,0,0,0,1
550,1,1,0,0
551,0,0,1,0
552,0,0,0,1
553,0,0,1,0
554,0,0,0,1
555,1,1,1,0
556,0,0,0,0
557,0,0,0,1
558,0,0,0,1
559,0,0,0,1
560,1,1,0,0
561,0,0,0,1
562,0,0,1,0
563,0,0,0,1
564,0,0,0,1
565,0,1,1,0
566,0,0,0,0
567,0,0,1,0
568,0,0,0,1
569,0,0,0,1
570,1,0,0,1
571,0,0,0,0
572,0,0,0,1
573,0,0,0,1
574,0,0,1,0
575,1,1,0,1
576,0,0,0,0
577,0,0,0,1
578,0,0,0,1
579,0,0,0,1
580,1,1,1,0
581,0,0,0,0
582,0,0,1,0
583,0,0,1,0
584,0,0,1,0
585,1,1,0,0
586,0,0,0,1
587,0,0,0,1
588,0,0,0,1
589,0,0,0,0
590,1,1,1,0
591,0,0,1,0
592,0,0,1,0
593,0,0,0,0
594,0,0,1,0
595,1,1,0,1
596,0,0,0,1
597,0,0,1,0
598,0,0,0,1
599,0,0,0,1
600,1,1,0,0
601,0,0,0,1
602,0,0,0,0
603,0,0,1,0
604,0,0,1,0
605,0,0,1,0
606,0,0,0,0
607,0,0,1,0
608,0,0,0,1
609,0,0,1,0
610,1,1,1,0
611,0,0,0,1
612,0,0,0,1
613,0,0,0,0
614,0,0,0,1
615,0,1,0,0
616,0,0,1,0
617,0,0,0,1
618,0,0,1,0
619,0,0,0,1
620,1,1,1,0
621,0,0,0,1
622,0,0,0,1
623,0,0,0,0
624,0,0,1,0
625,0,1,0,1
626,0,0,1,0
627,0,0,0,1
628,0,0,0,1
629,0,0,1,0
630,1,0,0,1
631,0,0,0,0
632,0,0,0,1
633,0,0,0,1
634,0,0,0,1
635,1,0,0,0
636,0,0,0,1
637,0,0,1,0
638,0,0,1,0
639,0,0,0,1
640,1,1,0,1
641,0,0,0,0
642,0,0,1,0
643,0,0,1,0
644,0,0,1,0
645,1,0,0,0
646,0,0,1,0
647,0,0,1,0
648,0,0,0,1
649,0,0,0,0
650,1,1,1,0
651,0,0,1,0
652,0,0,1,0
653,0,0,0,1
654,0,0,0,0
655,1,1,0,0
656,0,0,0,1
657,0,0,0,1
658,0,0,0,0
659,0,0,0,1
660,0,0,0,1
661,0,0,0,1
662,0,0,1,0
663,0,0,1,0
664,0,0,1,0
665,1,1,0,1
666,0,0,0,0
667,0,0,0,1
668,0,0,0,0
669,0,0,1,0
670,1,0,0,0
671,0,0,0,1
672,0,0,0,0
673,0,0,0,1
674,0,0,0,0
675,0,1,0,1
676,0,0,0,1
677,0,0,1,0
678,0,0,1,0
679,0,0,0,0
680,1,1,1,0
681,0,0,1,0
682,0,0,1,0
683,0,0,0,0
684,0,0,0,1
685,1,1,0,1
686,0,0,0,1
687,0,0,0,0
688,0,0,1,0
689,0,0,1,0
690,0,0,1,0
691,0,0,0,0
692,0,0,0,1
693,0,0,0,1
694,0,0,0,0
695,1,1,0,0
696,0,0,1,0
697,0,0,1,0
698,0,0,0,1
699,0,0,1,0
700,1,1,0,0
701,0,0,1,0
702,0,0,1,0
703,0,0,0,1
704,0,0,0,1
705,1,1,1,0
706,0,0,0,0
707,0,0,1,0
708,0,0,1,0
709,0,0,1,0
710,1,1,0,1
711,0,0,0,0
712,0,0,0,1
713,0,0,0,1
714,0,0,0,1
715,0,1,0,0
716,0,0,0,1
717,0,0,0,1
718,0,0,1,0
719,0,0,1,0
720,1,0,1,0
721,0,0,0,1
722,0,0,1,0
723,0,0,0,0
724,0,0,0,1
725,1,1,0,1
726,0,0,1,0
727,0,0,0,1
728,0,0,0,0
729,0,0,1,0
730,1,1,1,0
731,0,0,0,1
732,0,0,1,0
733,0,0,0,1
734,0,0,0,1
735,1,0,1,0
736,0,0,0,0
737,0,0,1,0
738,0,0,0,0
739,0,0,1,0
740,1,1,0,0
741,0,0,1,0
742,0,0,0,1
743,0,0,0,1
744,0,0,0,1
745,0,1,1,0
746,0,0,1,0
747,0,0,1,0
748,0,0,0,0
749,0,0,1,0
750,0,0,0,0
751,0,0,0,1
752,0,0,0,1
753,0,0,1,0
754,0,0,0,1
755,0,0,1,0
756,0,0,1,0
757,0,0,0,1
758,0,0,0,0
759,0,0,0,1
760,1,1,0,1
761,0,0,0,1
762,0,0,0,0
763,0,0,0,1
764,0,0,1,0
765,1,1,1,0
766,0,0,1,0
767,0,0,0,1
768,0,0,0,0
769,0,0,0,1
770,1,1,1,0
771,0,0,0,1
772,0,0,0,1
773,0,0,1,0
774,0,0,0,0
775,0,1,0,1
776,0,0,0,1
777,0,0,1,0
778,0,0,1,0
779,0,0,0,1
780,1,1,1,0
781,0,0,1,0
782,0,0,0,0
783,0,0,1,0
784,0,0,0,1
785,1,0,0,1
786,0,0,0,1
787,0,0,0,0
788,0,0,1,0
789,0,0,0,1
790,1,1,1,0
791,0,0,1,0
792,0,0,0,0
793,0,0,0,1
794,0,0,0,1
795,0,0,1,0
796,0,0,0,0
797,0,0,0,0
798,0,0,1,0
799,0,0,0,1
800,1,1,1,0
801,0,0,1,0
802,0,0,0,1
803,0,0,0,0
804,0,0,1,0
805,0,1,0,0
806,0,0,1,0
807,0,0,0,1
808,0,0,0,1
809,0,0,1,0
810,0,1,0,0
811,0,0,0,1
812,0,0,0,0
813,0,0,1,0
814,0,0,1,0
815,0,0,0,1
816,0,0,1,0
817,0,0,0,0
818,0,0,1,0
819,0,0,0,1
820,1,1,0,1
821,0,0,1,0
822,0,0,0,1
823,0,0,1,0
824,0,0,0,1
825,0,1,0,0
826,0,0,1,0
827,0,0,0,0
828,0,0,0,1
829,0,0,0,0
830,1,1,0,1
831,0,0,1,0
832,0,0,1,0
833,0,0,1,0
834,0,0,0,0
835,1,1,0,1
836,0,0,1,0
837,0,0,0,1
838,0,0,1,0
839,0,0,1,0
840,0,0,0,1
841,0,0,0,1
842,0,0,0,0
843,0,0,0,1
844,0,0,0,1
845,1,1,1,0
846,0,0,1,0
847,0,0,1,0
848,0,0,0,1
849,0,0,1,0
850,1,1,0,0
851,0,0,0,1
852,0,0,1,0
853,0,0,0,1
854,0,0,0,1
855,1,1,0,0
856,0,0,1,0
857,0,0,1,0
858,0,0,1,0
859,0,0,0,0
860,1,1,0,1
861,0,0,0,1
862,0,0,0,1
863,0,0,0,0
864,0,0,1,0
865,1,1,0,1
866,0,0,0,1
867,0,0,1,0
868,0,0,1,0
869,0,0,0,0
870,0,0,1,0
871,0,0,1,0
872,0,0,0,0
873,0,0,0,1
874,0,0,0,1
875,1,1,0,1
876,0,0,0,0
877,0,0,0,1
878,0,0,1,0
879,0,0,1,0
880,1,0,0,1
881,0,0,0,1
882,0,0,1,0
883,0,0,1,0
884,0,0,0,0
885,1,1,1,0
886,0,0,0,0
887,0,0,0,1
888,0,0,0,1
889,0,0,0,1
890,1,1,1,0
891,0,0,0,0
892,0,0,0,0
893,0,0,1,0
894,0,0,0,1
895,1,0,1,0
896,0,0,0,1
897,0,0,0,0
898,0,0,1,0
899,0,0,0,1
900,1,0,1,0
901,0,0,1,0
902,0,0,0,1
903,0,0,0,1
904,0,0,0,1
905,1,1,0,0
906,0,0,1,0
907,0,0,0,1
908,0,0,0,1
909,0,0,0,1
910,0,1,1,0
911,0,0,0,0
912,0,0,1,0
913,0,0,0,1
914,0,0,0,1
915,1,1,0,1
916,0,0,0,0
917,0,0,1,0
918,0,0,1,0
919,0,0,0,1
920,0,0,1,0
921,0,0,0,1
922,0,0,0,1
923,0,0,1,0
924,0,0,0,0
925,1,1,1,0
926,0,0,0,0
927,0,0,0,1
928,0,0,1,0
929,0,0,0,1
930,1,0,1,0
931,0,0,0,1
932,0,0,0,0
933,0,0,1,0
934,0,0,0,1
935,0,0,0,1
936,0,0,1,0
937,0,0,1,0
938,0,0,0,0
939,0,0,1,0
940,1,1,0,1
941,0,0,0,1
942,0,0,0,1
943,0,0,0,0
944,0,0,0,1
945,1,1,1,0
946,0,0,1,0
947,0,0,1,0
948,0,0,0,0
949,0,0,0,1
950,1,1,0,1
951,0,0,0,1
952,0,0,0,0
953,0,0,0,1
954,0,0,1,0
955,1,1,1,0
956,0,0,1,0
957,0,0,0,1
958,0,0,0,1
959,0,0,1,0
960,1,1,0,0
961,0,0,1,0
962,0,0,0,1
963,0,0,0,1
964,0,0,0,1
965,1,0,1,0
966,0,0,0,0
967,0,0,0,1
968,0,0,1,0
969,0,0,0,1
970,0,1,1,0
971,0,0,0,1
972,0,0,1,0
973,0,0,1,0
974,0,0,0,0
975,1,0,1,0
976,0,0,1,0
977,0,0,0,0
978,0,0,1,0
979,0,0,0,1
980,0,0,1,0
981,0,0,0,1
982,0,0,0,1
983,0,0,1,0
984,0,0,1,0
985,1,1,0,0
986,0,0,0,1
987,0,0,0,1
988,0,0,1,0
989,0,0,0,1
990,1,1,0,0
991,0,0,0,0
992,0,0,1,0
993,0,0,1,0
994,0,0,0,0
995,1,1,0,1
996,0,0,0,1
997,0,0,0,1
998,0,0,1,0
999,0,0,1,0
1000,1,1,0,0
1001,0,0,1,0
1002,0,0,1,0
1003,0,0,0,1
1004,0,0,0,1
1005,1,0,1,0
1006,0,0,0,0
1007,0,0,1,0
1008,0,0,1,0
1009,0,0,0,1
1010,1,1,1,0
1011,0,0,0,0
1012,0,0,1,0
1013,0,0,1,0
1014,0,0,1,0
1015,1,1,0,0
1016,0,0,0,1
1017,0,0,0,1
1018,0,0,0,1
1019,0,0,0,0
1020,1,1,1,0
1021,0,0,0,1
1022,0,0,0,0
1023,0,0,1,0
1024,0,0,0,0
1025,1,1,0,1
1026,0,0,0,1
1027,0,0,0,1
1028,0,0,0,0
1029,0,0,1,0
1030,1,1,1,0
1031,0,0,1,0
1032,0,0,0,0
1033,0,0,0,1
1034,0,0,0,1
1035,1,1,1,0
1036,0,0,0,1
1037,0,0,0,0
1038,0,0,0,1
1039,0,0,0,1
1040,1,1,1,0
1041,0,0,1,0
1042,0,0,1,0
1043,0,0,0,1
1044,0,0,1,0
1045,1,1,0,0
1046,0,0,1,0
1047,0,0,0,0
1048,0,0,0,1
1049,0,0,1,0
1050,0,0,1,0
1051,0,0,0,1
1052,0,0,0,0
1053,0,0,1,0
1054,0,0,0,0
1055,1,0,0,1
1056,0,0,0,0
1057,0,0,0,1
1058,0,0,0,0
1059,0,0,1,0
1060,1,1,1,0
1061,0,0,0,0
1062,0,0,0,1
1063,0,0,0,0
1064,0,0,1,0
1065,1,1,0,1
1066,0,0,0,1
1067,0,0,0,1
1068,0,0,1,0
1069,0,0,0,0
1070,1,1,1,0
1071,0,0,1,0
1072,0,0,1,0
1073,0,0,0,0
1074,0,0,1,0
1075,1,1,0,1
1076,0,0,0,1
1077,0,0,1,0
1078,0,0,0,1
1079,0,0,1,0
1080,1,1,0,1
1081,0,0,0,0
1082,0,0,1,0
1083,0,0,0,0
1084,0,0,1,0
1085,1,1,1,0
1086,0,0,1,0
1087,0,0,0,1
1088,0,0,0,0
1089,0,0,1,0
1090,1,1,0,1
1091,0,0,0,1
1092,0,0,0,1
1093,0,0,1,0
1094,0,0,0,1
1095,1,1,0,0
1096,0,0,1,0
1097,0,0,1,0
1098,0,0,0,1
1099,0,0,0,1
1100,1,1,1,0
1101,0,0,0,0
1102,0,0,0,1
1103,0,0,0,1
1104,0,0,0,1
1105,1,1,0,0
1106,0,0,0,1
1107,0,0,0,1
1108,0,0,1,0
1109,0,0,0,0
1110,1,1,1,0
1111,0,0,1,0
1112,0,0,0,0
1113,0,0,1,0
1114,0,0,1,0
1115,1,1,0,1
1116,0,0,1,0
1117,0,0,0,1
1118,0,0,0,1
1119,0,0,0,1
1120,1,0,0,0
1121,0,0,0,1
1122,0,0,0,0
1123,0,0,0,0
1124,0,0,1,0
1125,0,1,1,0
1126,0,0,0,1
1127,0,0,0,0
1128,0,0,0,1
1129,0,0,0,1
1130,1,1,1,0
1131,0,0,0,1
1132,0,0,0,0
1133,0,0,1,0
1134,0,0,1,0
1135,1,1,1,0
1136,0,0,0,1
1137,0,0,0,1
1138,0,0,0,0
1139,0,0,0,1
1140,1,1,1,0
1141,0,0,0,1
1142,0,0,1,0
1143,0,0,1,0
1144,0,0,0,0
1145,1,1,0,1
1146,0,0,1,0
1147,0,0,1,0
1148,0,0,1,0
1149,0,0,0,1
1150,1,1,0,1
1151,0,0,0,1
1152,0,0,0,0
1153,0,0,1,0
1154,0,0,0,0
1155,1,0,1,0
1156,0,0,1,0
1157,0,0,0,1
1158,0,0,1,0
1159,0,0,0,0
1160,0,0,0,1
1161,0,0,1,0
1162,0,0,1,0
1163,0,0,1,0
1164,0,0,0,0
1165,1,1,0,1
1166,0,0,0,1
1167,0,0,1,0
1168,0,0,0,1
1169,0,0,1,0
1170,1,1,0,0
1171,0,0,0,1
1172,0,0,1,0
1173,0,0,1,0
1174,0,0,1,0
1175,1,1,0,0
1176,0,0,1,0
1177,0,0,0,1
1178,0,0,1,0
1179,0,0,0,1
1180,1,1,0,1
1181,0,0,0,0
1182,0,0,0,1
1183,0,0,1,0
1184,0,0,0,1
1185,1,1,1,0
1186,0,0,1,0
1187,0,0,0,0
1188,0,0,1,0
1189,0,0,0,1
1190,1,1,0,1
1191,0,0,0,1
1192,0,0,0,0
1193,0,0,0,1
1194,0,0,1,0
1195,0,1,1,0
1196,0,0,1,0
1197,0,0,0,0
1198,0,0,1,0
1199,0,0,0,1
1200,0,1,0,1
1201,0,0,0,1
1202,0,0,0,0
1203,0,0,1,0
1204,0,0,1,0
1205,1,0,1,0
1206,0,0,0,0
1207,0,0,0,1
1208,0,0,0,1
1209,0,0,0,1
1210,1,1,0,0
1211,0,0,1,0
1212,0,0,0,1
1213,0,0,1,0
1214,0,0,1,0
1215,1,1,0,0
1216,0,0,0,1
1217,0,0,0,1
1218,0,0,0,1
1219,0,0,0,0
1220,1,1,1,0
1221,0,0,1,0
1222,0,0,1,0
1223,0,0,0,0
1224,0,0,0,1
1225,1,1,0,1
1226,0,0,0,1
1227,0,0,0,0
1228,0,0,1,0
1229,0,0,0,1
1230,1,1,1,0
1231,0,0,1,0
1232,0,0,0,0
1233,0,0,0,0
1234,0,0,1,0
1235,0,1,1,0
1236,0,0,0,1
1237,0,0,1,0
1238,0,0,0,0
1239,0,0,0,1
1240,1,1,0,1
1241,0,0,0,1
1242,0,0,1,0
1243,0,0,0,0
1244,0,0,0,1
1245,1,1,1,0
1246,0,0,0,1
1247,0,0,1,0
1248,0,0,0,1
1249,0,0,0,0
1250,0,1,0,1
1251,0,0,1,0
1252,0,0,1,0
1253,0,0,0,0
1254,0,0,1,0
1255,1,0,1,0
1256,0,0,1,0
1257,0,0,0,0
1258,0,0,0,1
1259,0,0,0,1
1260,0,1,0,1
1261,0,0,1,0
1262,0,0,0,0
1263,0,0,1,0
1264,0,0,1,0
1265,0,0,1,0
1266,0,0,0,0
1267,0,0,0,1
1268,0,0,1,0
1269,0,0,0,1
1270,1,1,0,1
1271,0,0,0,0
1272,0,0,1,0
1273,0,0,1,0
1274,0,0,1,0
1275,1,1,0,0
1276,0,0,0,1
1277,0,0,0,1
1278,0,0,0,1
1279,0,0,0,0
1280,1,1,1,0
1281,0,0,1,0
1282,0,0,1,0
1283,0,0,0,1
1284,0,0,0,1
1285,1,1,0,0
1286,0,0,0,1
1287,0,0,1,0
1288,0,0,1,0
1289,0,0,0,1
1290,0,0,0,1
1291,0,0,0,0
1292,0,0,0,0
1293,0,0,0,1
1294,0,0,1,0
1295,1,0,0,1
1296,0,0,0,1
1297,0,0,0,0
1298,0,0,1,0
1299,0,0,1,0
1300,1,0,0,1
1301,0,0,1,0
1302,0,0,0,0
1303,0,0,0,1
1304,0,0,0,1
1305,1,1,0,1
1306,0,0,1,0
1307,0,0,0,0
1308,0,0,0,1
1309,0,0,0,1
1310,1,1,1,0
1311,0,0,1,0
1312,0,0,1,0
1313,0,0,4,0
1314,0,0,0,0
1315,1,1,1,0
1316,0,0,0,1
1317,0,0,1,0
1318,0,0,0,1
1319,0,0,0,1
1320,0,1,1,0
1321,0,0,1,0
1322,0,0,0,0
1323,0,0,0,1
1324,0,0,0,0
1325,1,1,0,1
1326,0,0,0,0
1327,0,0,1,0
1328,0,0,1,0
1329,0,0,1,0
1330,1,1,0,1
1331,0,0,0,0
1332,0,0,1,0
1333,0,0,1,0
1334,0,0,0,1
1335,1,1,1,0
1336,0,0,0,1
1337,0,0,0,1
1338,0,0,0,1
1339,0,0,0,0
1340,1,1,0,1
1341,0,0,0,0
1342,0,0,1,0
1343,0,0,1,0
1344,0,0,1,0
1345,1,1,0,1
1346,0,0,0,1
1347,0,0,0,0
1348,0,0,0,1
1349,0,0,0,1
1350,0,0,0,1
1351,0,0,0,0
1352,0,0,0,1
1353,0,0,1,0
1354,0,0,1,0
