,Indicator,Index_p2,Value,Indicator.1,Index_p1,Value.1,continuous_wins_p1,continuous_wins_p2,p2_winning_streak_count,p1_Turning_point_count,p2_Turning_point_count,p1_winning_streak_count
79,y_value_p2,475.0,22.09768011,y_value_p1,560.0,13.35720935,0,1,0,,,0
80,y_value_p2,480.0,15.54949599,y_value_p1,570.0,3.482859932,1,0,0,,,0
81,y_value_p2,485.0,18.36740762,y_value_p1,575.0,9.43952063,1,0,0,,,0
82,y_value_p2,495.0,24.41800864,y_value_p1,580.0,7.126394942,0,1,0,,,0
83,y_value_p2,500.0,35.07329685,y_value_p1,585.0,20.8223486,0,1,0,,,0
84,y_value_p2,505.0,11.86928378,y_value_p1,590.0,28.15961919,1,0,0,,,0
85,y_value_p2,510.0,36.03622258,y_value_p1,595.0,23.58732432,1,0,0,,,0
86,y_value_p2,515.0,19.64291479,y_value_p1,600.0,21.54883956,0,0,0,,,0
87,y_value_p2,525.0,23.25463497,y_value_p1,610.0,26.48578311,0,1,0,,,0
88,y_value_p2,530.0,28.72556655,y_value_p1,620.0,18.80290331,0,1,0,,,0
89,y_value_p2,535.0,9.873664283,y_value_p1,630.0,9.614421123,1,0,0,,,0
90,y_value_p2,540.0,25.02783367,y_value_p1,635.0,13.65636717,1,0,0,,,0
91,y_value_p2,545.0,9.096192017,y_value_p1,640.0,12.66317828,1,0,0,,,0
92,y_value_p2,550.0,16.68035554,y_value_p1,645.0,14.18270784,0,1,0,,,0
93,y_value_p2,555.0,15.82164956,y_value_p1,650.0,22.44104737,1,0,0,,,0
94,y_value_p2,560.0,13.05432042,y_value_p1,655.0,12.38543236,0,0,0,,,0
95,y_value_p2,565.0,20.09873719,y_value_p1,665.0,11.88140024,0,1,0,,,0
96,y_value_p2,575.0,20.32675371,y_value_p1,670.0,15.11620718,0,0,0,,,0
97,y_value_p2,580.0,24.89673479,y_value_p1,680.0,21.56226722,0,1,0,,,0
98,y_value_p2,585.0,28.05528693,y_value_p1,685.0,8.862230452,1,0,0,,,0
99,y_value_p2,590.0,16.38316785,y_value_p1,695.0,14.43567856,0,1,0,,,0
100,y_value_p2,595.0,21.83703628,y_value_p1,700.0,14.30774665,1,0,0,,,0
101,y_value_p2,600.0,23.86271371,y_value_p1,705.0,19.01183157,1,0,0,,,0
102,y_value_p2,610.0,14.08380394,y_value_p1,710.0,21.3325808,0,1,0,,,0
103,y_value_p2,615.0,14.85253999,y_value_p1,720.0,19.95531863,1,0,0,,,0
104,y_value_p2,620.0,9.27574486,y_value_p1,725.0,5.559602667,0,0,0,,,0
105,y_value_p2,625.0,23.60322863,y_value_p1,730.0,24.95645459,1,0,0,,,0
106,y_value_p2,640.0,26.45071707,y_value_p1,735.0,21.07762044,0,1,0,,,0
107,y_value_p2,650.0,12.30666168,y_value_p1,740.0,17.89192273,0,1,0,,,0
108,y_value_p2,655.0,19.44353954,y_value_p1,760.0,8.529458239,0,1,0,,,0
109,y_value_p2,665.0,20.1726439,y_value_p1,765.0,21.58916341,1,0,0,,,0
110,y_value_p2,675.0,24.00195748,y_value_p1,770.0,14.86468635,1,0,0,,,0
111,y_value_p2,680.0,11.54833443,y_value_p1,780.0,18.94082504,1,0,0,,,0
112,y_value_p2,685.0,30.79595614,y_value_p1,785.0,6.890100731,0,0,0,,,0
113,y_value_p2,695.0,14.16012491,y_value_p1,790.0,21.58626517,0,1,0,,,0
114,y_value_p2,700.0,20.82078404,y_value_p1,800.0,21.54318379,0,0,0,,,0
115,y_value_p2,705.0,18.72497208,y_value_p1,820.0,11.24700509,1,0,0,,,0
116,y_value_p2,710.0,8.821335258,y_value_p1,830.0,14.17345221,0,0,0,,,0
117,y_value_p2,715.0,12.32694377,y_value_p1,835.0,9.13818117,1,0,0,,,0
118,y_value_p2,725.0,27.14487152,y_value_p1,845.0,14.20956168,1,0,0,,,0
119,y_value_p2,730.0,8.289976366,y_value_p1,850.0,15.3220662,1,0,0,,,0
120,y_value_p2,740.0,24.52953776,y_value_p1,855.0,15.95841162,0,0,0,,,0
121,y_value_p2,745.0,22.72299471,y_value_p1,860.0,10.45609608,1,0,0,,,0
122,y_value_p2,760.0,30.22391252,y_value_p1,865.0,15.8107063,0,1,0,,,0
123,y_value_p2,765.0,10.37474684,y_value_p1,875.0,9.700130973,0,1,0,,,0
124,y_value_p2,770.0,19.49186372,y_value_p1,880.0,15.79107594,0,1,0,,,0
125,y_value_p2,775.0,19.0069511,y_value_p1,885.0,23.14892532,0,0,0,,,0
126,y_value_p2,780.0,15.08017057,y_value_p1,890.0,8.622967637,1,0,0,,,0
127,y_value_p2,790.0,11.73407506,y_value_p1,895.0,26.25583225,0,1,0,,,0
128,y_value_p2,800.0,11.28180504,y_value_p1,900.0,12.38341393,1,0,0,,,0
129,y_value_p2,805.0,18.94988112,y_value_p1,905.0,17.19937663,1,0,0,,,0
130,y_value_p2,810.0,17.8495157,y_value_p1,915.0,8.237344733,0,1,0,,,0
131,y_value_p2,820.0,26.73934601,y_value_p1,925.0,23.5839039,0,0,0,,,0
132,y_value_p2,825.0,20.06769603,y_value_p1,930.0,13.77918047,0,1,0,,,0
133,y_value_p2,830.0,19.30217044,y_value_p1,940.0,13.15901009,0,1,0,,,0
134,y_value_p2,835.0,23.15199457,y_value_p1,945.0,17.50500626,1,0,0,,,0
135,y_value_p2,845.0,16.80981957,y_value_p1,950.0,7.400967491,0,1,0,,,0
136,y_value_p2,850.0,21.59773672,y_value_p1,955.0,24.44310074,0,0,0,,,0
137,y_value_p2,855.0,13.22860715,y_value_p1,960.0,14.1249431,1,0,0,,,0
138,y_value_p2,860.0,24.2654556,y_value_p1,965.0,14.61842242,1,0,0,,,0
139,y_value_p2,865.0,15.44812715,y_value_p1,975.0,11.08476599,1,0,0,,,0
140,y_value_p2,875.0,27.89910042,y_value_p1,985.0,10.81091604,0,0,0,,,0
141,y_value_p2,885.0,10.72146683,y_value_p1,990.0,17.86683445,0,0,0,,,0
142,y_value_p2,890.0,24.77914795,y_value_p1,995.0,7.154465306,1,0,0,,,0
143,y_value_p2,905.0,15.36895891,y_value_p1,1000.0,16.37681997,0,1,0,,,0
144,y_value_p2,910.0,19.48274472,y_value_p1,1005.0,20.51043424,0,0,0,,,0
145,y_value_p2,915.0,30.11585997,y_value_p1,1010.0,18.05382825,1,0,0,,,0
146,y_value_p2,925.0,13.97294374,y_value_p1,1015.0,14.95989179,0,0,0,,,0
147,y_value_p2,940.0,22.72746522,y_value_p1,1020.0,21.99621465,1,0,0,,,0
148,y_value_p2,945.0,14.48172007,y_value_p1,1025.0,10.65717076,0,1,0,,,0
149,y_value_p2,950.0,30.20409578,y_value_p1,1030.0,25.20830828,0,1,0,,,0
150,y_value_p2,955.0,14.4031802,y_value_p1,1035.0,14.30001542,1,0,0,,,0
151,y_value_p2,960.0,21.53647955,y_value_p1,1040.0,16.08690819,1,0,0,,,0
152,y_value_p2,970.0,15.09309651,y_value_p1,1045.0,19.83226495,0,1,0,,,0
153,y_value_p2,985.0,18.32732263,y_value_p1,1055.0,8.67054938,1,0,0,,,0
154,y_value_p2,990.0,16.74815247,y_value_p1,1060.0,28.04905204,0,0,0,,,0
155,y_value_p2,995.0,22.333812,y_value_p1,1065.0,12.76560891,0,0,0,,,0
156,y_value_p2,1000.0,14.81038202,y_value_p1,1070.0,21.77955816,0,1,0,,,0
157,y_value_p2,1010.0,11.75445045,y_value_p1,1075.0,13.28827336,0,0,0,,,0
158,y_value_p2,1015.0,14.96676322,y_value_p1,1080.0,3.658552125,1,0,0,,,0
159,y_value_p2,1020.0,13.4931595,y_value_p1,1085.0,26.3196205,1,0,0,,,0
160,y_value_p2,1025.0,24.67778684,y_value_p1,1090.0,17.42115605,0,1,0,,,0
161,y_value_p2,1030.0,7.359038047,y_value_p1,1095.0,15.2730234,0,1,0,,,0
162,y_value_p2,1035.0,19.15492773,y_value_p1,1100.0,22.09788633,1,0,0,,,0
163,y_value_p2,1040.0,19.48475974,y_value_p1,1105.0,19.67671435,0,0,0,,,0
164,y_value_p2,1045.0,17.55402758,y_value_p1,1110.0,18.61492024,1,0,0,,,0
165,y_value_p2,1060.0,11.00447731,y_value_p1,1115.0,15.46370711,1,0,0,,,0
166,y_value_p2,1065.0,19.19133238,y_value_p1,1120.0,13.47309482,0,1,0,,,0
167,y_value_p2,1070.0,11.90870203,y_value_p1,1130.0,17.55391411,1,0,0,,,0
168,y_value_p2,1075.0,19.5520514,y_value_p1,1135.0,22.56328118,0,0,0,,,0
169,y_value_p2,1080.0,22.30599141,y_value_p1,1140.0,11.14529651,1,0,0,,,0
170,y_value_p2,1085.0,9.040846745,y_value_p1,1145.0,10.96420657,1,0,0,,,0
171,y_value_p2,1090.0,18.20772955,y_value_p1,1150.0,12.15489142,0,0,0,,,0
172,y_value_p2,1095.0,12.97419909,y_value_p1,1155.0,15.53165537,0,0,0,,,0
173,y_value_p2,1100.0,14.47273395,y_value_p1,1165.0,6.06792632,1,0,0,,,0
174,y_value_p2,1105.0,17.87121144,y_value_p1,1170.0,14.21373615,0,1,0,,,0
175,y_value_p2,1110.0,17.17571843,y_value_p1,1175.0,7.142912904,0,1,0,,,0
176,y_value_p2,1115.0,16.22880462,y_value_p1,1180.0,10.82094709,1,0,0,,,0
177,y_value_p2,1125.0,10.17460805,y_value_p1,1185.0,17.92591534,0,1,0,,,0
178,y_value_p2,1130.0,27.90703657,y_value_p1,1190.0,8.181506953,0,0,0,,,0
179,y_value_p2,1135.0,3.043622536,y_value_p1,1205.0,24.56872882,1,0,0,,,0
180,y_value_p2,1140.0,18.37703114,y_value_p1,1210.0,18.14231709,1,0,0,,,0
181,y_value_p2,1145.0,18.95798858,y_value_p1,1215.0,7.598303937,1,0,0,,,0
182,y_value_p2,1150.0,16.41415616,y_value_p1,1220.0,21.12477673,0,0,0,,,0
183,y_value_p2,1165.0,18.22197335,y_value_p1,1225.0,6.849051616,0,1,0,,,0
184,y_value_p2,1170.0,10.13428574,y_value_p1,1230.0,20.4075795,1,0,0,,,0
185,y_value_p2,1175.0,11.2685852,y_value_p1,1240.0,7.019828967,0,1,0,,,0
186,y_value_p2,1180.0,22.55627281,y_value_p1,1245.0,17.89619411,1,0,0,,,0
187,y_value_p2,1185.0,12.6159181,y_value_p1,1255.0,23.92814978,1,0,0,,,0
188,y_value_p2,1190.0,16.40028783,y_value_p1,1270.0,1.930797841,0,1,0,,,0
189,y_value_p2,1195.0,12.95529317,y_value_p1,1275.0,7.728209441,0,1,0,,,0
190,y_value_p2,1200.0,22.87536581,y_value_p1,1280.0,18.60788341,0,0,0,,,0
191,y_value_p2,1210.0,15.55008873,y_value_p1,1285.0,14.38031131,1,0,0,,,0
192,y_value_p2,1215.0,14.61038152,y_value_p1,1295.0,12.14534144,1,0,0,,,0
193,y_value_p2,1220.0,10.60611235,y_value_p1,1300.0,21.47876451,1,0,0,,,0
194,y_value_p2,1225.0,28.50180054,y_value_p1,1305.0,-0.695541207,0,1,0,,,0
195,y_value_p2,1230.0,9.389952814,y_value_p1,1310.0,14.23038132,0,0,0,,,0
196,y_value_p2,1235.0,6.394279529,y_value_p1,1315.0,17.25582088,1,0,0,,,0
197,y_value_p2,1240.0,28.08621026,y_value_p1,1325.0,6.585824381,0,1,0,,,0
198,y_value_p2,1245.0,14.71703142,y_value_p1,1330.0,23.2554846,0,1,0,,,0
199,y_value_p2,1250.0,21.74980684,y_value_p1,1335.0,17.0267466,0,1,0,,,0
200,y_value_p2,1260.0,30.51170644,y_value_p1,1340.0,6.801506248,0,0,0,,,0
201,y_value_p2,1270.0,21.58317589,y_value_p1,1345.0,21.67979022,0,0,0,,,0
202,y_value_p2,1275.0,15.12699033,y_value_p1,1355.0,24.2133322,0,1,0,,,0
203,y_value_p2,1280.0,10.30114264,y_value_p1,1360.0,21.51658873,0,0,0,,,0
204,y_value_p2,1285.0,21.63206888,y_value_p1,1365.0,16.86642369,0,0,0,,,0
205,y_value_p2,1305.0,25.40265598,y_value_p1,1370.0,19.45850685,0,1,0,,,0
206,y_value_p2,1310.0,21.85657022,y_value_p1,1375.0,27.0734983,1,0,0,,,0
207,y_value_p2,1315.0,16.52691397,y_value_p1,1380.0,9.782997402,0,1,0,,,0
208,y_value_p2,1320.0,21.66580915,y_value_p1,1385.0,19.19697807,0,1,0,,,0
209,y_value_p2,1325.0,23.24832089,y_value_p1,1390.0,7.049060351,1,0,0,,,0
210,y_value_p2,1330.0,11.09669609,y_value_p1,1395.0,20.76850506,1,0,0,,,0
211,y_value_p2,1335.0,11.98553563,y_value_p1,1400.0,18.18644161,1,0,0,,,0
212,y_value_p2,1340.0,25.3372103,y_value_p1,1405.0,15.25675716,0,0,0,,,0
213,y_value_p2,1345.0,8.205135247,y_value_p1,1410.0,8.79086912,0,1,0,,,0
214,y_value_p2,1355.0,7.912352856,y_value_p1,1415.0,12.60120889,0,0,0,,,0
215,y_value_p2,1360.0,10.09058996,y_value_p1,1420.0,26.42969321,0,0,0,,,0
216,y_value_p2,1365.0,13.95298868,y_value_p1,1425.0,17.95464037,1,0,0,,,0
217,y_value_p2,1370.0,12.42719288,y_value_p1,1430.0,9.82623295,0,0,0,,,0
218,y_value_p2,1375.0,5.874360447,y_value_p1,1435.0,18.07092777,0,1,0,,,0
219,y_value_p2,1380.0,25.54349076,y_value_p1,1440.0,11.6442655,0,0,0,,,0
220,y_value_p2,1385.0,17.39316113,y_value_p1,1445.0,12.32251107,0,1,0,,,0
221,y_value_p2,1390.0,22.27741201,y_value_p1,1450.0,12.82992844,0,0,0,,,0
222,y_value_p2,1395.0,10.98596559,y_value_p1,1455.0,15.6277294,1,0,0,,,0
223,y_value_p2,1400.0,10.16056632,y_value_p1,1460.0,3.450156519,0,1,0,,,0
224,y_value_p2,1405.0,13.4024037,y_value_p1,1465.0,14.79844566,0,1,0,,,0
225,y_value_p2,1410.0,15.83696162,y_value_p1,1470.0,7.078256901,1,0,0,,,0
226,y_value_p2,1415.0,17.13995324,y_value_p1,1475.0,21.86514955,1,0,0,,,0
227,y_value_p2,1420.0,19.99400293,y_value_p1,1480.0,10.1170529,1,0,0,,,0
228,y_value_p2,1425.0,21.27172547,y_value_p1,1485.0,4.454543831,0,0,0,,,0
229,y_value_p2,1430.0,21.69117834,y_value_p1,1490.0,24.83765445,0,1,0,,,0
230,y_value_p2,1435.0,16.80169868,y_value_p1,1495.0,8.027579127,1,0,0,,,0
231,y_value_p2,1440.0,18.81789099,y_value_p1,1500.0,21.44524738,0,1,0,,,0
232,y_value_p2,1445.0,21.34058568,y_value_p1,1520.0,21.13179765,0,1,0,,,0
233,y_value_p2,1450.0,18.28410769,y_value_p1,1525.0,16.36133681,1,0,0,,,0
234,y_value_p2,1455.0,22.38972794,y_value_p1,1530.0,17.75828475,1,0,0,,,0
235,y_value_p2,1465.0,16.85211156,y_value_p1,1535.0,5.75794877,0,1,0,,,0
236,y_value_p2,1470.0,22.93364872,y_value_p1,1540.0,23.5733241,0,0,0,,,0
237,y_value_p2,1475.0,13.07156779,y_value_p1,1545.0,23.72945077,1,0,0,,,0
238,y_value_p2,1480.0,19.06435561,y_value_p1,1555.0,21.86665494,1,0,0,,,0
239,y_value_p2,1485.0,18.73472047,y_value_p1,1560.0,14.06289734,0,0,0,,,0
240,y_value_p2,1490.0,8.259306615,y_value_p1,1565.0,10.11509279,1,0,0,,,0
241,y_value_p2,1495.0,24.19749361,y_value_p1,1570.0,26.40911852,0,1,0,,,0
242,y_value_p2,1500.0,5.42001388,y_value_p1,1575.0,14.36095552,1,0,0,,,0
243,y_value_p2,1505.0,27.44661998,y_value_p1,1580.0,11.53474969,0,1,0,,,0
244,y_value_p2,1510.0,5.427310807,y_value_p1,1585.0,12.06547935,0,0,0,,,0
245,y_value_p2,1515.0,19.53664055,y_value_p1,1590.0,26.82011558,1,0,0,,,0
246,y_value_p2,1520.0,5.840343211,y_value_p1,1595.0,2.467355823,0,0,0,,,0
247,y_value_p2,1525.0,14.93496485,y_value_p1,1605.0,11.12376597,1,0,0,,,0
248,y_value_p2,1530.0,9.185887385,y_value_p1,1615.0,18.91116438,0,0,0,,,0
249,y_value_p2,1535.0,23.10378396,y_value_p1,1620.0,20.90819837,0,1,0,,,0
250,y_value_p2,1550.0,17.46982926,y_value_p1,1625.0,12.33384738,1,0,0,,,0
251,y_value_p2,1555.0,12.07525563,y_value_p1,1640.0,19.90907782,0,1,0,,,0
252,y_value_p2,1560.0,15.19301566,y_value_p1,1650.0,23.67909808,0,1,0,,,0
253,y_value_p2,1565.0,17.80333053,y_value_p1,1655.0,11.23674474,0,0,0,,,0
254,y_value_p2,1570.0,3.963464402,y_value_p1,1660.0,20.21263972,1,0,0,,,0
255,y_value_p2,1575.0,12.48171239,y_value_p1,1665.0,12.99666993,1,0,0,,,0
256,y_value_p2,1580.0,12.82294854,y_value_p1,1670.0,12.58366586,0,1,0,,,0
257,y_value_p2,1595.0,22.92792309,y_value_p1,1675.0,21.75868773,1,0,0,,,0
258,y_value_p2,1605.0,17.84009918,y_value_p1,1695.0,27.67808105,0,1,0,,,0
259,y_value_p2,1610.0,15.19568417,y_value_p1,1710.0,18.15532163,0,1,0,,,0
260,y_value_p2,1615.0,32.60397198,y_value_p1,1720.0,31.57101819,1,0,0,,,0
261,y_value_p2,1620.0,22.85330163,y_value_p1,1725.0,10.33656889,0,0,0,,,0
262,y_value_p2,1625.0,33.71863831,y_value_p1,1730.0,27.0660063,0,1,0,,,0
263,y_value_p2,1630.0,26.05873608,y_value_p1,1735.0,13.44145829,1,0,0,,,0
264,y_value_p2,1635.0,14.94933968,y_value_p1,1740.0,26.88208084,0,1,0,,,0
265,y_value_p2,1640.0,17.6598399,y_value_p1,1745.0,22.44315735,1,0,0,,,0
266,y_value_p2,1650.0,11.98284957,y_value_p1,1750.0,12.182999,1,0,0,,,0
267,y_value_p2,1655.0,31.87806112,y_value_p1,1760.0,9.6248995,0,0,0,,,0
268,y_value_p2,1660.0,12.62364935,y_value_p1,1765.0,26.26325088,0,1,0,,,0
269,y_value_p2,1665.0,19.66809136,y_value_p1,1785.0,15.99693298,1,0,0,,,0
270,y_value_p2,1670.0,23.75843006,y_value_p1,1790.0,22.1985753,1,0,0,,,0
271,y_value_p2,1675.0,16.71965186,y_value_p1,1795.0,24.69523945,0,1,0,,,0
272,y_value_p2,1680.0,19.38201392,y_value_p1,1805.0,17.80431762,0,1,0,,,0
273,y_value_p2,1685.0,10.08661525,y_value_p1,1825.0,28.54079197,1,0,0,,,0
274,y_value_p2,1695.0,12.22350343,y_value_p1,1830.0,8.752643624,1,0,0,,,0
275,y_value_p2,1705.0,25.13314094,y_value_p1,1835.0,14.14995251,0,0,0,,,0
276,y_value_p2,1710.0,18.22267839,y_value_p1,1840.0,16.86332266,1,0,0,,,0
277,y_value_p2,1720.0,9.299805625,y_value_p1,1845.0,9.343130497,0,1,0,,,0
278,y_value_p2,1725.0,26.7854985,y_value_p1,1850.0,17.57966904,0,1,0,,,0
279,y_value_p2,1730.0,10.61109866,y_value_p1,1860.0,9.985479303,1,0,0,,,0
280,y_value_p2,1735.0,22.14616981,y_value_p1,1865.0,14.10463049,0,1,0,,,0
281,y_value_p2,1740.0,9.080373915,y_value_p1,1870.0,21.64666696,0,1,0,,,0
282,y_value_p2,1750.0,27.51865167,y_value_p1,1875.0,22.62938448,0,0,0,,,0
283,y_value_p2,1760.0,23.84336473,y_value_p1,1880.0,19.55192488,0,1,0,,,0
284,y_value_p2,1765.0,9.060539269,y_value_p1,1885.0,15.62388663,0,0,0,,,0
285,y_value_p2,1770.0,19.43452399,y_value_p1,1890.0,12.1973329,0,1,0,,,0
286,y_value_p2,1785.0,22.57982163,y_value_p1,1895.0,25.46456774,0,0,0,,,0
287,y_value_p2,1790.0,19.95570871,y_value_p1,1905.0,25.91741094,1,0,0,,,0
288,y_value_p2,1795.0,21.15512336,y_value_p1,1910.0,17.75113937,1,0,0,,,0
289,y_value_p2,1805.0,24.18862261,y_value_p1,1915.0,14.85192802,1,0,0,,,0
290,y_value_p2,1810.0,26.7856664,y_value_p1,1920.0,17.57106115,0,0,0,,,0
291,y_value_p2,1830.0,27.69962508,y_value_p1,1930.0,11.60704747,0,1,0,,,0
292,y_value_p2,1835.0,20.6929923,y_value_p1,1935.0,5.542958569,1,0,0,,,0
